id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A2-001;Frutas Eloy Ruano S.L.;cadena_valor;mayorista hortofruticola Mercamadrid canal horeca;Espana;Madrid;https://frutaseloy.com/;Mayorista y distribuidor hortofruticola con base en Mercamadrid, cerca de 100 anos de historia y mas de 20 en distribucion especializada al canal horeca profesional.;Sirve a mas de 1.000-1.200 restaurantes, hoteles, caterings y colectividades en Madrid, capacidad de reparto de unas 90 toneladas diarias y hasta 1.000 pedidos en cinco horas. Cliente semanal de Rootflow.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;intro_calida;Ya compra microbrotes cada semana: convertir la relacion comercial en cliente-inversor con precio preferente y exclusividad de zona, asegurando suministro KM0 para sus 1.000+ cuentas horeca.;Margen mayorista fino, empresa familiar sin historial publico de inversion en proveedores. Riesgo de que prefiera solo contrato de suministro.;cliente_actual;90;A;alta;https://frutaseloy.com/contacto/;https://sivarious.com/proveedores/la-huerta-que-alimenta-a-la-hosteleria-mueve-452-millones-de-kilos-y-enriquece-a-proveedores-20260917-0400/;2026-09-21;ya_en_pipeline
A2-002;La Huerta de Aranjuez;cadena_valor;productor hortofruticola con fruterias premium propias;Espana;Aranjuez Madrid;https://lahuertadearanjuez.es/;Empresa familiar de la Vega de Aranjuez con mas de 30 anos, huertas propias y red de fruterias premium en la Comunidad de Madrid con venta a domicilio.;Produccion propia en la Vega de Aranjuez y tiendas propias. Cliente de Rootflow con un microblend co-desarrollado en exclusiva.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;intro_calida;Microblend co-desarrollado ya en su lineal: escalar a marca blanca conjunta y entrada como cliente-inversor con condiciones de compra preferentes.;Pyme familiar con capacidad de inversion limitada. Podria preferir ampliar cultivo propio en lugar de invertir.;cliente_actual;86;A;alta;https://lahuertadearanjuez.es/inicio/;https://gastroactivity.com/fruterias-la-huerta-de-aranjuez/;2026-09-21;ya_en_pipeline
A2-003;Mercamadrid S.A.;cadena_valor;unidad alimentaria y gestora del mercado mayorista;Espana;Madrid;https://www.mercamadrid.es/;Mayor plataforma de distribucion, comercializacion, transformacion y logistica de alimentos frescos de Espana, con unas 350 empresas mayoristas instaladas.;El Mercado Central de Frutas y Hortalizas ocupa unos 125.000 m2 con unas 150 empresas mayoristas y 2 millones de toneladas anuales. Fuerte crecimiento de IV y V gama tras la recuperacion de la hosteleria.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;mercamadrid@mercamadrid.es;email_generico;Acuerdo de consignacion ya en borrador: consolidarlo y usarlo como puerta de entrada a las 150 mayoristas de la nave de frutas y hortalizas.;Es gestora de la unidad alimentaria, no inversora. Su valor es de canal y prescripcion, no de capital.;ninguno;70;B;alta;https://www.mercamadrid.es/mercado-central-de-frutas-y-hortalizas/;https://www.mercasa.es/merca/mercamadrid/;2026-09-21;ya_en_pipeline
A2-004;Guillen Merca S.L.;cadena_valor;mayorista Mercamadrid con produccion agricola propia;Espana;Madrid;https://guillenmerca.es/;Mayorista de frutas y hortalizas de Mercamadrid que vende a mayoristas, almacenes, distribucion y hosteleria, con marca premium propia.;Distribuidor en exclusiva de La Atalaya, marca premium de hortalizas cultivada en campos agricolas propios en San Javier Murcia: brocoli, pimientos, alcachofa, guisante y pimiento ecologico.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;evento;Ya practican integracion vertical hacia atras con campos propios y marca premium: Rootflow les anade una categoria gourmet KM0 Madrid sin construir capacidad indoor.;No hay evidencia publica de toma de participaciones en terceros. Tamano y capacidad inversora sin verificar.;ninguno;76;A;media;https://guillenmerca.es/;https://www.mercamadrid.es/mercado-central-de-frutas-y-hortalizas/;2026-09-21;nuevo
A2-005;Frutas Candil S.L.;cadena_valor;mayorista Mercamadrid y Mercabarna canal horeca;Espana;Madrid;https://frutascandil.com/;Mayorista hortofruticola con presencia consolidada en Mercamadrid y Mercabarna y soluciones a medida para restaurantes, hoteles, caterings, supermercados y fruterias.;Doble posicion en los dos principales mercados mayoristas de Espana y linea especifica de suministro a hosteleria.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Suministro exclusivo de microbrotes KM0 desde Madrid para su cartera horeca en dos plazas, con opcion de marca blanca y ticket de cliente-inversor.;Sin historial publico de inversion. Negocio de rotacion y margen ajustado.;ninguno;74;B;media;https://frutascandil.com/sobre-nosotros/;https://frutascandil.com/frutas-y-verduras-al-por-mayor-para-hosteleria-supermercados-y-comercios-frutas-candil/;2026-09-21;nuevo
A2-006;Agronatural Frutas y Hortalizas;cadena_valor;mayorista Mercamadrid con retail propio;Espana;Madrid;https://www.agronaturalfrutasyhortalizas.es/;Mayorista con puesto en Mercamadrid que suministra a hosteleria, tiendas, comercios, colectividades, colegios y residencias, con dos tiendas propias en Madrid.;Posicion en Mercamadrid mas tiendas minoristas en Vallecas y Retiro: doble canal mayorista y retail en Madrid capital.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Microbrotes vivos como producto de alto margen para su canal horeca y como reclamo diferencial en sus dos tiendas propias.;Empresa pequena, capacidad de ticket probablemente por debajo de 20 k EUR.;ninguno;66;B;media;https://www.agronaturalfrutasyhortalizas.es/es/mayoristas-de-frutas-y-verduras-mercamadrid.html;https://www.agronaturalfrutasyhortalizas.es/es/;2026-09-21;nuevo
A2-007;Frutas Hermanos Ruiz Gomez;cadena_valor;mayorista Mercamadrid IV gama;Espana;Madrid;https://frutashrg.com/;Mayorista especializado en venta al por mayor de productos horticolas frescos y de cuarta gama con cuatro puestos en Mercamadrid.;Cuatro puntos de venta en Mercamadrid nave F puestos 38 a 44. Linea de IV gama propia.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Su apuesta por IV gama encaja con microbrotes en formato monodosis y bandeja para emplatado, con produccion KM0 a 30 minutos de su puesto.;Sin datos publicos de facturacion ni de inversiones. Confianza media.;ninguno;64;B;media;https://frutashrg.com/;http://frutashrg.com/quienes-somos/;2026-09-21;nuevo
A2-008;Grupo Frutas Asturias S.A.;cadena_valor;mayorista Mercamadrid frutas y hortalizas selectas;Espana;Madrid;https://frutasasturias.com/;Mayorista de frutas y hortalizas selectas operando desde 1983 con tres posiciones de venta al por mayor en la nave D de Mercamadrid.;Posicionamiento explicito en producto selecto y tres puestos en Mercamadrid desde 1983.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Posicionamiento en selecto: microbrotes y flores comestibles KM0 completan su gama gourmet sin canibalizar su surtido actual.;Sin evidencia de actividad inversora. Datos economicos no verificados.;ninguno;62;B;media;https://frutasasturias.com/;https://www.mercamadrid.es/mercado-central-de-frutas-y-hortalizas/;2026-09-21;nuevo
A2-009;Frutas Alozar;cadena_valor;mayorista distribuidor Mercamadrid;Espana;Madrid;https://www.retailactual.com/empresas/frutas-alozar-mercamadrid;Distribuidor mayorista de frutas y hortalizas con puesto en Mercamadrid nave C puestos 13 a 15.;Operador mayorista listado en directorios sectoriales de Mercamadrid.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Ampliar gama con microbrotes premium KM0 y convertirse en punto de referencia del producto en la nave C.;Informacion publica escasa, sin web corporativa propia verificada. Confianza baja.;ninguno;52;C;baja;https://www.retailactual.com/empresas/frutas-alozar-mercamadrid;https://www.foodalimentacion.com/empresa/frutas-alozar-mercamadrid.aspx;2026-09-21;nuevo
A2-010;Frutas Olivar;cadena_valor;mayorista Mercamadrid;Espana;Madrid;https://inter-fair.com/Announcement/Announcement?strPath=FRUTASOLIVAR;Mayorista de frutas y hortalizas con posicion en Mercamadrid nave B puestos 19 a 27.;Empresa listada en el directorio de empresas de Mercamadrid y en directorios feriales del sector agroalimentario.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;email_generico;Suministro de microbrotes KM0 para diferenciarse frente a los puestos vecinos de la nave B.;Datos publicos muy limitados. Verificar tamano y actividad antes de contactar.;ninguno;48;C;baja;https://inter-fair.com/Announcement/Announcement?strPath=FRUTASOLIVAR;https://bamadrid.org/wp-content/uploads/2022/09/Empresas-de-Mercamadrid.pdf;2026-09-21;nuevo
