id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A4-001;Food Business Angels (Eatable Adventures);red_angels;red de angels especializada en alimentacion bebidas y restauracion;Espana;Madrid;https://www.foodbusinessangels.es/;Primera red espanola de inversores privados especializada en restauracion, alimentacion, bebidas y servicios gastronomicos. Foco en proyectos seed y early stage que necesitan hasta 250.000 euros.;Red promovida por Eatable Adventures, aceleradora y VC de foodtech con sede en Madrid. Eatable coinvirtio en 2025 en la ronda de 1,84 M de Neboda (agricultura vertical, Galicia). Acuerdo con Crowdcube para completar rondas.;20000;250000;equity|participativo|CeP;si;2026-09;Jose Luis Cabanero;CEO y fundador de Eatable Adventures;-;-;formulario_web;Productor de microgreens KM0 en Madrid con margen bruto 74-77% y pipeline del 77,5% del Ano 1 ya identificado: exactamente el perfil food que esta red busca y sus angels aportan red HORECA directa.;Red vinculada a una aceleradora, puede priorizar startups de su programa. Sesgo hacia foodtech tecnologica frente a produccion agricola.;ninguno;92;A;alta;https://www.emprendedores.es/noticias-de-empresa/a76737/eatable-adventures-food-business-angels/;https://eatableadventures.com/;2026-09-21;nuevo
A2-001;Frutas Eloy Ruano S.L.;cadena_valor;mayorista hortofruticola Mercamadrid canal horeca;Espana;Madrid;https://frutaseloy.com/;Mayorista y distribuidor hortofruticola con base en Mercamadrid, cerca de 100 anos de historia y mas de 20 en distribucion especializada al canal horeca profesional.;Sirve a mas de 1.000-1.200 restaurantes, hoteles, caterings y colectividades en Madrid, capacidad de reparto de unas 90 toneladas diarias y hasta 1.000 pedidos en cinco horas. Cliente semanal de Rootflow.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;intro_calida;Ya compra microbrotes cada semana: convertir la relacion comercial en cliente-inversor con precio preferente y exclusividad de zona, asegurando suministro KM0 para sus 1.000+ cuentas horeca.;Margen mayorista fino, empresa familiar sin historial publico de inversion en proveedores. Riesgo de que prefiera solo contrato de suministro.;cliente_actual;90;A;alta;https://frutaseloy.com/contacto/;https://sivarious.com/proveedores/la-huerta-que-alimenta-a-la-hosteleria-mueve-452-millones-de-kilos-y-enriquece-a-proveedores-20260917-0400/;2026-09-21;ya_en_pipeline
A4-049;Carlos Ortiz de Lucas;angel;cofundador de Aloha Poke, operador de restauracion y retail alimentario;Espana;Madrid;-;Business angel agnostico con tesis declarada en foodtech y consumo. Invierte en fase pre-seed con tickets de 5.000 a 25.000 euros.;Cofundador de Aloha Poke, cadena de restauracion. Operador de retail y alimentacion con foco en escalado fisico, franquicias y experiencia de marca. Inversiones destacadas P-KAP y Kultur.;5000;25000;equity|CeP;si;2026-09;Carlos Ortiz de Lucas;Cofundador de Aloha Poke y business angel;https://www.linkedin.com/in/carlos-ortiz-startup-advisor;-;intro_calida;Operador de restauracion en Madrid: su red de compras y de chefs es valor comercial inmediato para Rootflow y su ticket de 5-25 k encaja con el Plan C de 2 CeP de 20-25 k.;Ticket individual pequeno, requiere sindicar con otros angels. Evidencia procedente de un listado sectorial, sin fecha de operacion concreta.;ninguno;86;A;media;https://nexencapital.com/fundraising/top-150-business-angels-en-espana/;https://www.linkedin.com/in/carlos-ortiz-startup-advisor;2026-09-21;nuevo
A2-002;La Huerta de Aranjuez;cadena_valor;productor hortofruticola con fruterias premium propias;Espana;Aranjuez Madrid;https://lahuertadearanjuez.es/;Empresa familiar de la Vega de Aranjuez con mas de 30 anos, huertas propias y red de fruterias premium en la Comunidad de Madrid con venta a domicilio.;Produccion propia en la Vega de Aranjuez y tiendas propias. Cliente de Rootflow con un microblend co-desarrollado en exclusiva.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;intro_calida;Microblend co-desarrollado ya en su lineal: escalar a marca blanca conjunta y entrada como cliente-inversor con condiciones de compra preferentes.;Pyme familiar con capacidad de inversion limitada. Podria preferir ampliar cultivo propio en lugar de invertir.;cliente_actual;86;A;alta;https://lahuertadearanjuez.es/inicio/;https://gastroactivity.com/fruterias-la-huerta-de-aranjuez/;2026-09-21;nuevo
A4-050;Alberto Jimenez San Mateo;angel;cofundador de Smileat, alimentacion infantil ecologica;Espana;Madrid;-;Business angel con tesis en health, foodtech y movilidad. Invierte en 3F, pre-seed y seed con tickets de 5.000 a 25.000 euros. Aporta vision de canal y retail y optimizacion de supply chain.;Cofundador de Smileat, marca espanola de alimentacion infantil ecologica que factura mas de 8 M de euros y compite con Hero y Nestle. Inversiones en Jobandtalent, Luda Partners, Petcoach, Velohub y Payflow.;5000;25000;equity|CeP;si;2026-09;Alberto Jimenez San Mateo;Cofundador de Smileat y business angel;https://www.linkedin.com/in/albertojimenezsanmateo;-;intro_calida;Ha construido una marca de alimentacion desde cero en Madrid y conoce el canal retail y la cadena de suministro de fresco: puede abrir puertas de distribucion ademas de poner ticket.;Ticket individual pequeno, requiere sindicacion. Su cartera es mayoritariamente digital, no produccion agricola. Evidencia de listado sin fecha de operacion concreta.;ninguno;84;A;media;https://nexencapital.com/fundraising/top-150-business-angels-en-espana/;https://elreferente.es/emprendedores/alberto-jimenez/;2026-09-21;nuevo
A1B-063;Aromatic Factory S.L.U.;industrial_agro;hierbas_aromaticas;Espana;Dolores de Pacheco Murcia;https://aromaticfactory.com;Productor y mayorista de hierbas aromaticas con mas de 300 hectareas propias y 4.000 metros cuadrados de planta. Certificado Global GAP GRASP IFS Food Nurture BRC y M and S Field to Fork. Es la categoria adyacente exacta de Rootflow con canal de retail y HORECA ya abierto y estructura de empresa media con decision corta;Tomillo romero eneldo cilantro menta y perejil. Mas de 300 hectareas propias en la Region de Murcia y asociada a Proexport;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;evento;Aromaticas y microbrotes son el mismo cliente el mismo lineal y el mismo chef. Rootflow aporta la pata de microbrotes KM 0 desde Madrid con entrega en 24-48 h y marca blanca. Contacto inmediato en Fruit Attraction;Su modelo es campo abierto a gran escala frente al indoor de Rootflow;ninguno;84;A;alta;https://aromaticfactory.com/;https://www.proexport.es/portfolio/aromatic-factory-s-l-u/;2026-09-21;nuevo
A3-001;Tokavi Activos;family_office;single family office de origen agroalimentario con programa de venture;España;Lorca (Murcia);https://tokavi.com/;Family office procedente del sector agroalimentario con mas de 20 anios de trayectoria que invierte en pre-seed y seed en agrotech, ecommerce, fintech, proptech y turismo, ademas de inmobiliario.;Colidero la ronda seed de 1,07 M€ de Agrosingularity (foodtech de ingredientes naturales) junto a Tech Transfer Agrifood y Equity4Good. Cartera de 17-25 participadas con 1 exit, muchas en Murcia.;25000;400000;equity;si;2024-06;Victor Cervero Polo;Director y fundador;https://www.linkedin.com/in/victor-cervero-polo-3a800678/;-;intro_calida;FO agro que entiende ciclos de cultivo y margenes hortofruticolas: ticket de 25-400 k€ encaja exacto con los 100 k€ de la ronda y el participativo protege su downside.;Fuera de Madrid. Fecha exacta de la ultima operacion no confirmada. No hay evidencia publica de uso de prestamo participativo.;ninguno;84;A;alta;https://elreferente.es/inversor/tokavi-activos/;https://www.webcapitalriesgo.com/agrosingularity-cierra-una-ronda-de-e1m-liderada-por-tech-transfer-agrifood-tokavi-activos-y-equity4good-ship2b/;2026-09-21;nuevo
A1B-032;Jimbofresh International S.L.L.;industrial_agro;grupo_familiar_hortofruticola;Espana;La Union Murcia;https://www.jimbofresh.com;Grupo familiar que supera los 100 M EUR tras crecer cerca del 50 por ciento en dos anos y esta controlado por una sola persona fisica a traves de Jimbo Corporate. Control unipersonal significa decision en dias no en meses. Ya tiene filiales propias Ventafresh Agricola Jimbo y Volcano;Melon y sandia marca Jimbee. Mas de 60.000 t comercializadas y mas de 100 M EUR de ventas;desconocido;desconocido;equity;desconocido;2026-09;Miguel Angel Jimenez Bosque;Accionista de control via Jimbo Corporate;-;-;evento;Control unipersonal y experiencia creando filiales. Rootflow es un ticket de calderilla para Jimbofresh que le abre categoria gourmet y canal HORECA Madrid. Contacto inmediato en Fruit Attraction;Negocio muy estacional de melon y sandia;ninguno;81;A;alta;https://elnuevodigitalmurcia.es/art/7761/jimbofresh-aumenta-sus-ventas-cerca-de-un-50-en-dos-anos-y-supera-los-100-m;https://empresite.eleconomista.es/JIMBOFRESH-INTERNATIONAL.html;2026-09-21;nuevo
A1B-031;Bonnysa Agroalimentaria S.A.;industrial_agro;grupo_familiar_hortofruticola;Espana;San Juan de Alicante Alicante;https://www.bonnysa.es;Grupo familiar fundado en 1956 con 600 hectareas propias en Alicante Murcia Almeria y Tenerife y siete centros de envasado. Referente declarado en productos de innovacion de IV y V gama. Es el perfil exacto de familiar con categoria de innovacion ya montada y propiedad concentrada;Hortalizas y fruta fresca mas IV y V gama. 600 hectareas propias y centros de envasado en Alicante Sevilla y Tenerife;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;https://es.linkedin.com/company/bonnysa-agroalimentaria;-;evento;Bonnysa ya tiene division de innovacion en IV y V gama. Rootflow le da la categoria de microbrotes llave en mano con marca blanca y KM 0 desde Madrid. Expone en Fruit Attraction en las proximas semanas;Ventas cayeron un 2,22 por ciento entre 2024 y 2025 lo que puede frenar apetito inversor;ninguno;80;A;alta;https://www.iberinform.es/empresa/379642/bonnysa-agroalimentaria;https://www.proexport.es/empresas/;2026-09-21;nuevo
A1B-065;Royalveg Fresh Produce S.L.;industrial_agro;baby_leaf;Espana;Aguilas Murcia;https://www.royalveg.com;Lider europeo en produccion de invierno de baby leaf y espinaca con 550 toneladas semanales de espinaca y 50 de baby leaf. Facturacion entre 10 y 50 M EUR con solo 60 empleados lo que indica propiedad muy concentrada y decision rapida. Ya tiene linea de espinaca baby en polvo es decir diversifica a valor anadido;Baby leaf y espinaca. Mayor productor europeo de invierno con 550 t semanales de espinaca y linea de espinaca en polvo;desconocido;desconocido;desconocido;desconocido;2026-01;-;-;-;info@royalveg.com;email_generico;El baby leaf es literalmente el escalon anterior al microbrote. Royalveg domina la hoja joven pero no tiene indoor ni KM 0 en Madrid. Rootflow se lo aporta montado con marca blanca y sin CAPEX;Estructura pequena en empleados lo que puede limitar la capacidad de ticket;ninguno;80;A;alta;https://www.royalveg.com/;https://www.einforma.com/informacion-empresa/royalveg-fresh-produce;2026-09-21;nuevo
