id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A1-001;Anecoop S. Coop.;industrial_agro;cooperativa hortofruticola de segundo grado;Espana;Valencia;https://www.anecoop.com/;Mayor cooperativa hortofruticola de segundo grado de Espana. 61 entidades asociadas y 20.000 agricultores en 13 provincias. Marca Bouquet.;Cifra de negocio 986,7 M EUR en 2024-2025 y 1.166 M EUR el Grupo Anecoop. 735.216 t comercializadas. Premio Cooperativa del Ano 2026 por su innovacion.;desconocido;desconocido;desconocido;desconocido;2026-05;-;-;-;-;evento;Categoria premium de alta rotacion y margen para la marca Bouquet sin construir capacidad propia de interior.;Gobernanza cooperativa: decisiones lentas y por consejo rector. Sin vehiculo inversor conocido. Valencia, no Madrid.;ninguno;56;B;alta;https://www.agro-alimentarias.coop/posts/anecoop-aumenta-su-cifra-de-negocio-un-27-frente-a-un-descenso-en-el-volumen-comercializado;https://revistamercados.com/anecoop-premiada-como-la-cooperativa-del-ano/;2026-09-21;nuevo
A1-002;Unica Group S. Coop. And.;industrial_agro;cooperativa hortofruticola de segundo grado;Espana;Almeria;https://www.unicagroup.es/;Primer grupo hortofruticola de Almeria y referencia nacional en horticultura protegida.;Lidera las grandes de la horticultura almeriense con mas de 900 M EUR de negocio y 424.000 t comercializadas, creciendo a doble digito segun El Espanol en septiembre de 2026.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;evento;Diversificacion hacia producto de altisimo valor por kg y entrada en HORECA premium, canal donde el volumen almeriense no juega.;Gobernanza cooperativa. Modelo de volumen, no de nicho gourmet. Lejos de Madrid.;ninguno;54;C;alta;https://www.elespanol.com/invertia/empresas/20260919/grandes-horticultura-almeriense-crecen-doble-digito-unica-lidera-meur-negocio/1003744388437_0.html;https://www.unicagroup.es/;2026-09-21;nuevo
A1-003;Agroponiente;industrial_agro;grupo hortofruticola con private equity en el accionariado;Espana;El Ejido (Almeria);https://www.agroponiente.com/;Grupo hortofruticola almeriense controlado por el fondo Abac Capital, que compro una participacion mayoritaria.;Cerro la campana 2025-2026 con 515 M EUR de facturacion en el perimetro actual del grupo frente a 386 M EUR del ejercicio anterior.;desconocido;desconocido;equity;desconocido;2026-09;-;-;-;-;evento;Tiene private equity detras, apetito de M&A y logica de construccion de grupo: una adquisicion pequena de capacidad en Madrid encaja en su tesis de buy and build.;Con un fondo en el accionariado el ticket objetivo es muy superior a 100k EUR. Proceso de inversion formal y largo.;ninguno;58;B;alta;https://www.freshplaza.es/spain/article/9060654/espana-abac-capital-compra-una-participacion-mayoritaria-en-agroponiente/;https://www.agroponiente.com/;2026-09-21;nuevo
A1-004;Florette Iberica (Vega Mayor);industrial_agro;lider nacional de IV gama;Espana;Milagro (Navarra);https://www.florette.es/;Lider nacional de vegetales frescos envasados listos para consumir. Introdujo la IV gama en Espana a finales de los anos 80 desde la navarra Vega Mayor.;35 anos en el mercado, 6 centros de produccion (Navarra x2, Tarragona, Murcia, Toledo y Canarias) y distribucion a 14.000 puntos de venta. Ha lanzado linea de brotes frescos.;desconocido;desconocido;desconocido;desconocido;2026-01;-;-;-;-;evento;Ya ha entrado en la categoria de brotes: Rootflow es capacidad y know-how de interior listos para usar en el centro peninsular.;COMPETIDOR DIRECTO: es el operador que segun el equipo fundador ha lanzado su propia linea de microbrotes. Tratar como posible adquirente, nunca como inversor financiero, y con NDA muy cerrado.;competidor;48;C;alta;https://www.florette.es/notas/florette-cumple-35-anos-como-lider-en-espana-de-vegetales-frescos-envasados-y-listos-para-consumir/;https://revistamercados.com/las-ensaladas-completas-de-florette-responsables-del-crecimiento-de-la-iv-gama/;2026-09-21;nuevo
A1-005;Verdifresh S.L.U.;industrial_agro;interproveedor de IV gama de Mercadona;Espana;Cheste (Valencia);https://www.verdifresh.es/;Segundo operador del mercado espanol de IV gama e interproveedor del grupo Mercadona.;Supone mas del 20 por ciento de las ventas del sector de IV gama en Espana segun Alimarket.;desconocido;desconocido;desconocido;desconocido;2026-01;-;-;-;-;formulario_web;Categoria premium para el lineal de Mercadona sin inversion propia en cultivo de interior.;Sistema cerrado de interproveedor: su estrategia la marca Mercadona y no invierte fuera de ese marco. Encaje inversor muy bajo.;ninguno;38;C;alta;https://www.alimarket.es/alimentacion/noticia/251412/el-sector-de-iv-gama-demanda-mas-espacio-en-los-supermercados;https://www.zipmec.eu/es/verdifresh-s-l-u_85321.html;2026-09-21;nuevo
A1-006;Solherbs;industrial_agro;productor de hierbas aromaticas frescas;Espana;Murcia;https://solherbs.es/;Empresa familiar murciana especializada en la produccion y venta al por mayor de hierbas aromaticas y hortalizas frescas.;Proveedor de hierbas aromaticas y hortalizas frescas en la Region de Murcia, con venta mayorista.;desconocido;desconocido;desconocido;desconocido;desconocido;-;-;-;-;email_generico;La categoria adyacente mas cercana: vende al mismo comprador y el microbrote completa su catalogo sin canibalizarlo. Empresa de tamano medio, mucho mas probable que decida un ticket de 50-100k que un gran grupo.;No hay evidencia publica de actividad inversora. Tamano y capacidad financiera por confirmar.;ninguno;62;B;media;https://solherbs.es/;https://www.europages.es/empresas/espa%C3%B1a/proveedor-hierbas-aromaticas-frescas.html;2026-09-21;nuevo
A1-007;Agromontes Fresh Group S.L.;industrial_agro;grupo hortofruticola familiar;Espana;San Javier (Murcia);https://www.proexport.es/portfolio/agromontes-fresh-group/;Empresa familiar con mas de 30 anos que controla el producto desde la plantacion hasta la venta, con flota propia de camiones frigorificos.;310 trabajadores en 2025 segun Empresite. Miembro de Proexport.;desconocido;desconocido;desconocido;desconocido;2025-12;-;-;-;-;evento;Tiene ya cadena de frio y distribucion propia: anadir microbrotes premium es margen incremental sobre logistica existente.;Sin evidencia publica de tomar participaciones. Murcia, no Madrid.;ninguno;57;B;media;https://empresite.eleconomista.es/AGROMONTES-FRESH-GROUP.html;https://www.proexport.es/portfolio/agromontes-fresh-group/;2026-09-21;nuevo
A1-008;Proexport (Asociacion de Productores-Exportadores de Frutas y Hortalizas de Murcia);industrial_agro;asociacion sectorial - via de acceso;Espana;Murcia;https://www.proexport.es/;Asociacion que integra 60 grupos de empresas agrarias, cooperativas y alhondigas de la Region de Murcia.;Sus asociados incluyen Agromontes Fresh Group, Agromediterranea Hortofruticola, Difrusa, Fruca Marketing, Grupo Hortofruticola Paloma y Murciana de Vegetales. Acude a Fruit Attraction 2026.;desconocido;desconocido;desconocido;desconocido;2026-09;-;-;-;-;evento;No es un inversor: es la puerta de entrada a 60 grupos de golpe. Su stand en Fruit Attraction es el punto de mayor densidad de contactos industriales del calendario.;Es una asociacion, no invierte. Usar solo como canal de acceso a sus socios.;ninguno;55;B;alta;https://www.murcia.com/empresas/noticias/2026/09/17-proexport-apostara-por-la-union-del-sector-como-motor-de-crecimiento-y-de-soluciones-al-retail-en-fr.asp;https://www.proexport.es/;2026-09-21;nuevo
A1-009;Pascual Innoventures;cvc;corporate venture capital agroalimentario;Espana;Madrid;https://www.pascualinnoventures.com/;Unidad de corporate venturing de Pascual creada en 2021 como sociedad independiente para identificar y desarrollar nuevos negocios agroalimentarios. Modelo de cuatro pilares: explorar, inventar, invertir y acelerar.;25 inversiones desde 2021. Programa Mylkcubator de incubacion en Madrid. Las startups de sus dos primeras ediciones superan los 100 M EUR de valor y han levantado mas de 12 M EUR.;desconocido;desconocido;equity;si;2026-03;-;-;-;-;formulario_web;CVC agroalimentario en Madrid con vocacion declarada de acompanar a companias en fase temprana, no solo de poner dinero.;Tesis muy centrada en lacteo del futuro, agricultura celular y fermentacion de precision. El cultivo hidroponico de microbrotes queda fuera de su foco declarado.;ninguno;52;C;alta;https://www.elespanol.com/invertia/disruptores/ecosistema-startup/aceleradoras/20250324/pascual-innoventures-fabrica-startups-invierte-acelera-ideas-gestan-alimentacion-futuro/932657134_0.html;https://eatableadventures.com/news/calidad-pascual-corporate-venturing-pascual-innoventures/;2026-09-21;nuevo
A1-010;Bollo Natural Fruit;industrial_agro;comercializadora hortofruticola;Espana;Sevilla;https://www.bollo.es/;Uno de los mayores operadores hortofruticolas espanoles por volumen comercializado.;400.000 t comercializadas, tercer operador nacional por volumen tras Anecoop y Unica segun Revista Mercados.;desconocido;desconocido;desconocido;desconocido;2026-01;-;-;-;-;evento;Diversificacion hacia producto de alto valor por kg frente a un negocio de volumen y margen ajustado.;Negocio de fruta de volumen, sin evidencia de interes en nicho gourmet ni en cultivo de interior. Lejos de Madrid.;ninguno;46;C;media;https://revistamercados.com/descubre-las-15-entidades-que-mas-volumen-mueven-en-el-sector-hortofruticola-espanol/;https://www.bollo.es/;2026-09-21;nuevo
