id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A3-001;Tokavi Activos;family_office;single family office de origen agroalimentario con programa de venture;España;Lorca (Murcia);https://tokavi.com/;Family office procedente del sector agroalimentario con mas de 20 anios de trayectoria que invierte en pre-seed y seed en agrotech, ecommerce, fintech, proptech y turismo, ademas de inmobiliario.;Colidero la ronda seed de 1,07 M€ de Agrosingularity (foodtech de ingredientes naturales) junto a Tech Transfer Agrifood y Equity4Good. Cartera de 17-25 participadas con 1 exit, muchas en Murcia.;25000;400000;equity;si;2024-06;Victor Cervero Polo;Director y fundador;https://www.linkedin.com/in/victor-cervero-polo-3a800678/;-;intro_calida;FO agro que entiende ciclos de cultivo y margenes hortofruticolas: ticket de 25-400 k€ encaja exacto con los 100 k€ de la ronda y el participativo protege su downside.;Fuera de Madrid. Fecha exacta de la ultima operacion no confirmada. No hay evidencia publica de uso de prestamo participativo.;ninguno;84;A;alta;https://elreferente.es/inversor/tokavi-activos/;https://www.webcapitalriesgo.com/agrosingularity-cierra-una-ronda-de-e1m-liderada-por-tech-transfer-agrifood-tokavi-activos-y-equity4good-ship2b/;2026-09-21;nuevo
A3-002;Grupo Chova;family_office;familia empresaria valenciana con area propia de Agricultura y coinversion directa;España;Tavernes de la Valldigna (Valencia);https://chovagroup.com/;Family office de familia empresaria con cinco areas declaradas: mercado de capitales, inversiones directas y coinversiones, inmobiliario, agricultura e inversiones alternativas (PE, infra y VC).;Agricultura es una de sus cinco areas de inversion declaradas en su propia web, junto a inversiones directas y coinversiones. Origen familiar en la Comunidad Valenciana.;desconocido;desconocido;equity|desconocido;desconocido;-;-;-;-;info@chovagroup.com;email_generico;Pocas oportunidades de agricultura de alto valor con activo real visitable y estructura de deuda participativa: encaja con su vertical agricola y su formato de coinversion.;No publica tickets ni criterios. Sin operaciones early stage documentadas publicamente. Fuera de Madrid.;ninguno;66;B;alta;https://chovagroup.com/;https://venturecapitalarchive.com/blogs/25-active-family-offices-in-spain;2026-09-21;nuevo
A3-003;Angels Capital;family_office;vehiculo de inversion de Juan Roig integrado en Marina de Empresas;España;Valencia;https://www.angelscapital.es/;Sociedad de inversion de Juan Roig que invierte en startups lideradas por emprendedores, con mas de 40 M€ acumulados y 75 empresas en cartera, y abre coinversion a otros inversores.;Invirtio 400.000 € en FoodVAC (alta cocina al vacio) en coinversion con Herrecha Inversiones. Origen del capital en Mercadona, con conocimiento profundo de cadena alimentaria y frescos.;desconocido;desconocido;equity;si;2025-09;Pepe Peris;Director general;-;-;formulario_web;Producto fresco KM 0 para canal profesional con unit economics probados y ERP propio: el tipo de negocio industrial-alimentario que Angels entiende desde el origen Mercadona.;Foco en startups del ecosistema Marina de Empresas y Valencia. Lanzadera ya esta en el pipeline de Rootflow. Proceso con foro de inversion propio.;ninguno;71;B;alta;https://www.angelscapital.es/;https://www.eleconomista.es/capital-riesgo/noticias/13005130/09/24/juan-roig-alcanza-los-40-millones-invertidos-en-startups-a-traves-de-angels.html;2026-09-21;nuevo
A3-004;Herrecha Inversiones;family_office;sociedad patrimonial de Hortensia Herrero;España;Valencia;-;Sociedad patrimonial de Hortensia Herrero que toma participaciones minoritarias en companias industriales espaniolas y coinvierte en startups del entorno de Lanzadera y Angels.;Coinversion de 400.000 € en FoodVAC (cocina al vacio de alta gama) junto a Angels Capital. Entradas minoritarias en Istobal (22%) y Grupo Malasa (30%).;desconocido;desconocido;equity;si;2025-06;-;-;-;-;intro_calida;Entra en minoritario sin control, exactamente la estructura que piden los fundadores de Rootflow, y ya ha respaldado un proyecto de alimentacion premium.;No tiene web ni canal de entrada publico: requiere intro calida. Opera sobre todo en Valencia. Tickets historicos muy superiores a 100 k€ en industriales.;ninguno;60;B;media;https://capital-riesgo.es/es/articles/herrecha-inversiones-sociedad-patrimonial-de-hortensia-herrero-entra-en-el-accionariado-de-grupo-malasa/;https://elreferente.es/inversiones/angels-capital-invierte-400-000e-en-foodvac/;2026-09-21;nuevo
A3-005;Corporación Hijos de Rivera - Cosecha de Galicia;family_office;holding de empresa familiar cervecera con vehiculo agricola e innovacion abierta;España;A Coruña;https://corporacionhijosderivera.com/;Holding de la familia Rivera (Estrella Galicia) que invierte en agricultura propia a traves de Cosecha de Galicia y en startups mediante MOVE Digital Business and Venturing y el ecosistema TheHop.;Cosecha de Galicia lidero la ronda de 4,2 M€ de Ekonoke, startup de cultivo hidroponico de lupulo en interior. Gestiona lupulo, cebada maltera y manzana de sidra. Programa Impact Sips con EIT Food.;desconocido;desconocido;equity;si;2025-10;-;-;-;-;formulario_web;Es el unico inversor espaniol que ya ha puesto dinero en hidroponia de interior (Ekonoke): Rootflow es el mismo modelo tecnico aplicado a microbrotes premium con ventas reales.;Corporate con procesos de innovacion abierta, no ticket rapido de family office. Galicia, no Madrid. Interes historico centrado en materias primas cerveceras.;ninguno;73;B;alta;https://elreferente.es/inversiones/ekonoke-cierra-ronda-inversion-42m-garantizar-produccion-sostenible-cerveza/;https://corporacionhijosderivera.com/;2026-09-21;nuevo
A3-006;Alazady España;family_office;single family office de Jose Maria Castellano (ex CEO de Inditex);España;A Coruña;-;Family office del empresario Jose Maria Castellano que coinvierte en rondas de startups espaniolas junto a corporates y fondos de impacto.;Participo en la ronda de 4,2 M€ de Ekonoke, cultivo hidroponico de lupulo en interior, junto a Cosecha de Galicia (Hijos de Rivera) y Leanox Impact Ventures. Tambien invirtio en Coinscrap Finance.;desconocido;desconocido;equity;si;2022-10;-;-;-;-;intro_calida;Ya ha financiado agricultura de entorno controlado en España: Rootflow ofrece la misma tesis con ingresos ya facturados y payback de 33 meses.;Ultima operacion documentada en 2022. Sin web ni canal de entrada publico. Requiere intro calida. Galicia.;ninguno;56;B;media;https://sifted.eu/articles/spain-farming-startup-climate-hops;https://elreferente.es/inversiones/ekonoke-cierra-ronda-inversion-42m-garantizar-produccion-sostenible-cerveza/;2026-09-21;nuevo
A3-007;Grupo Fuertes - Infu Capital;family_office;holding de la familia Fuertes (ElPozo) con brazo inversor;España;Alhama de Murcia (Murcia);https://www.grupofuertes.com/;Holding familiar con mas de 20 companias organizadas en un nucleo agroalimentario y un bloque de inversiones diversificadas gestionado a traves de Infu Capital.;Nucleo agroalimentario con ElPozo Alimentacion, Fripozo y Cefusa. Facturacion superior a 2.300 M€. Joint venture Hepabiotic para valorizacion de subproductos porcinos.;desconocido;desconocido;equity;desconocido;2025-03;-;-;-;-;formulario_web;Rootflow aporta una categoria premium de crecimiento (microbrotes y flores comestibles) sin construir capacidad propia, con posibilidad de marca blanca para su red de distribucion.;Decisiones lentas de holding industrial. Historicamente entra con mayorias o control en industriales, no en tickets de 100 k€. Murcia.;ninguno;62;B;alta;https://www.grupofuertes.com/;https://startupxplore.com/es/inversores/infu-capital;2026-09-21;nuevo
A3-008;CAPSA Impact (ex CAPSA Vida);cvc;corporate venture de CAPSA Food orientado a impacto en alimentacion;España;Granda - Siero (Asturias);https://www.capsavida.com/;Vehiculo de inversion e innovacion de CAPSA Food que invierte en proyectos innovadores de alimentacion con impacto social y medioambiental, organizado en Comunidades, Naturaleza y Familias sanas.;Mas de 500 startups analizadas, decenas de pilotos y 8 proyectos consolidados en el cierre de la etapa CAPSA Vida en 2025. Base agroalimentaria lactea (Central Lechera Asturiana).;desconocido;desconocido;equity;si;2025-12;-;-;-;-;formulario_web;Impacto medible y cuantificado: ahorro de agua frente a campo abierto, KM 0 y sustitucion de importacion, con producto ya vendido a HORECA.;Base cooperativa lactea, no family office puro. Asturias. Tesis centrada en lacteo, ganaderia y nutricion, no en horticola.;ninguno;67;B;alta;https://www.capsavida.com/;https://shizune.co/investors/food-and-beverage-investors-spain;2026-09-21;nuevo
A3-009;Pascual Innoventures;cvc;corporate venturing de Grupo Pascual (empresa familiar);España;Madrid;https://pascualinnoventures.com/;Brazo de corporate venturing de Grupo Pascual creado en 2021, con 25 inversiones en foodtech y agritech y el incubador Mylkcubator, aportando ademas soporte operativo y acceso a I+D.;2 M€ invertidos en tres ediciones de Mylkcubator. Cartera de alimentacion del futuro, proteinas alternativas, fermentacion de precision e ingredientes funcionales.;desconocido;desconocido;equity;si;2025-11;-;-;-;-;formulario_web;Proyecto agroalimentario madrileño, tangible y visitable en Las Rozas, con ERP propio e IoT en roadmap: encaja con su foco de innovacion en cadena alimentaria.;Tesis muy centrada en proteinas alternativas y fermentacion, no en horticola fresco. Proceso corporate por convocatorias.;ninguno;70;B;alta;https://pascualinnoventures.com/;https://capital-riesgo.es/en/articles/pascual-innoventures-invests-2-million-in-future-food-research-through-mylkcubator-program/;2026-09-21;nuevo
A3-010;Grupo Zriser;family_office;family office de Ana y Pablo Serratosa Lujan con linea de Venture Investment;España;Valencia;https://zriser.es/;Family office con 380 M€ bajo gestion y cinco lineas: core real estate, value add real estate, inversion industrial, venture investment y mercado financiero.;Cartera de venture con Consentio (marketplace B2B hortofruticola), Cocunat, Flamingueo y Solver. Adquisiciones industriales como Alcion Plasticos.;desconocido;desconocido;equity;si;2026-09;-;-;-;-;formulario_web;Su participada Consentio opera en el comercio hortofruticola B2B: Rootflow le da exposicion al mismo mercado desde la produccion premium de interior.;Linea de venture minoritaria dentro del grupo. Foco principal en inmobiliario e industrial. Valencia.;ninguno;59;B;alta;https://zriser.es/en/home_e/;https://economia3.com/2026/09/01/760198-zriser-en-2026-asi-ha-evolucionado-su-estrategia-inversora-desde-2019/;2026-09-21;nuevo
