id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A5-001;Eatable Adventures;aceleradora;aceleradora foodtech con fondo propio (Eatable Evolution Fund FCR I 50 M EUR y Europe Foodtech Acceleration Fund I 30 M EUR);Espana;Madrid;https://eatableadventures.com/;Aceleradora e inversor foodtech con programas Spain Foodtech (con ICEX y CNTA), FoodSeed (Italia) y Raices 2026. Invierte ticket inicial pequeno en las startups de sus programas y acompana con seguimiento.;Inversora en Neboda Farms (agricultura vertical, ronda seed 1,84 M EUR julio 2025) y en Agreen Biosolutions, Agreenet, Mmmico, Regrowth, Beadroots y otras 15+ agrifood. Precedente directo de inversion en CEA en Espana.;desconocido;1000000;equity;si;2025-07;-;-;-;-;formulario_web;Unico inversor espanol con precedente verificado en agricultura vertical (Neboda): CEA con eficiencia hidrica radical, ERP propio V72 en produccion y roadmap IoT encajan en su tesis agrifoodtech.;Invierte solo via convocatoria de programa con calendario fijo (no encaja en 6 semanas). Instrumento equity, no participativo. Ticket inicial exacto no publicado. Su cartera es deeptech/foodtech, Rootflow es productor.;ninguno;70;B;media;https://forbes.es/ultima-hora/401947/eatable-adventures-lanza-vehiculo-de-inversion-de-30-millones-para-acelerar-foodtech-en-espana-e-italia/;https://www.alimarket.es/alimentacion/noticia/411862/neboda-levanta-1-8-m--para-consolidar-su-produccion-en-agricultura-vertical-a-escala-preindustrial;2026-09-21;nuevo
A5-002;Tech Transfer Agrifood FCR;vc;fondo agroalimentario orientado a demanda, 15 M EUR, gestionado por Clave Capital;Espana;Valencia;https://www.techfoodmag.com/espacio/tech-transfer-agrifood/;Primer fondo espanol especializado en agroalimentacion orientado a demanda: recoge retos de la industria y financia las soluciones tecnologicas que los resuelven. 19 participadas.;Lidero la ronda de 3,5 M EUR de Groots (agricultura vertical, Martorell y Madrid) y la de 1 M EUR de Agrosingularity. 14 soluciones invertidas por 2,346 M EUR en dos convocatorias (media aproximada 168 k EUR).;desconocido;desconocido;equity;si;2025-12;-;-;-;-;formulario_web;Su ticket medio historico (~168 k EUR) es de los pocos compatibles con una ronda de 100 k EUR, y ya han financiado agricultura vertical en Espana (Groots).;Invierte contra retos planteados por la industria y con sesgo a transferencia tecnologica universidad/centro tecnologico. Rootflow no es spin-off. Solo equity. Convocatorias con plazos. El ticket unitario no esta publicado: la media de 168 k EUR es un calculo sobre los totales que si publican.;ninguno;66;B;media;https://www.webcapitalriesgo.com/tech-transfer-agrifood-gestionado-por-clave-busca-soluciones-tecnologicas-para-ayudar-a-la-industria-agroalimentaria-a-adaptarse-a-los-nuevos-habitos-de-consumo/;https://tracxn.com/d/venture-capital/tech-transfer-agrifood/__lEHOrV1so59pfpfmq1EOpOuZ4k5aCvmGtRC4oPSw8tc;2026-09-21;nuevo
A5-003;Swanlaab Agri-Food Tech Fund;vc;fondo VC especializado en agroalimentacion, 40-80 M EUR, ~20 startups espanolas;Espana;Madrid;https://swanlaab.com/lanzamiento-fondo-agrifood-tech/;Primer gran fondo de venture espanol especializado en innovacion agroalimentaria: produccion primaria, transformacion, logistica, distribucion y retail, con coinversores industriales.;Tesis explicita en sistemas de cultivo, inputs agricolas, digitalizacion agricola y gestion de recursos y residuos. No se ha verificado operacion publica desde septiembre 2024.;desconocido;desconocido;equity;si;-;Xana Belastegui;General Partner;-;-;formulario_web;Tesis agroalimentaria pura y coinversores industriales, util para una Serie A futura mas que para esta ronda.;TICKET MINIMO ESTIMADO ~1-4 M EUR (40-80 M EUR para ~20 companias): 10-40x la ronda de Rootflow. Exige equity y proceso de comite. Sin operacion publica verificada reciente. NO ENCAJA en la ronda actual.;ninguno;52;C;media;https://capital-riesgo.es/en/articles/swanlaab-lanza-agri-food-tech-fund-el-primer-gran-fondo-de-venture-especializado-en-la-innovaci-n-del-sector-agroalimentario/;https://swanlaab.com/lanzamiento-fondo-agrifood-tech/;2026-09-21;nuevo
A5-004;Clave Capital SGEIC (Mondragon Fondo de Promocion);vc;gestora de capital riesgo, vehiculos Mondragon Fondo de Promocion I y II y Tech Transfer Agrifood;Espana;San Sebastian;https://clave.capital/vehiculos-de-inversion/;Gestora con 16 anos y mas de 65 inversiones en proyectos innovadores y pymes industriales. Media declarada de 500 k EUR por proyecto en el fondo Mondragon.;Entro en Neboda Farms (agricultura vertical) en julio 2025 via Mondragon Fondo de Promocion II, e invirtio en Insekt Label Biotech (ingredientes a partir de insectos). Gestiona ademas Tech Transfer Agrifood.;desconocido;desconocido;equity;si;2025-07;-;-;-;-;formulario_web;Gestora con dos vehiculos agro y precedente de inversion en agricultura vertical espanola: puerta de entrada natural a Tech Transfer Agrifood.;Ticket medio declarado 500 k EUR, 5x la ronda privada de Rootflow. Sesgo Pais Vasco/Mondragon y transferencia tecnologica. Solo equity.;ninguno;50;C;media;https://www.webcapitalriesgo.com/el-fondo-mondragon-fondo-de-promocion-gestionado-por-clave-capital-invierte-en-oroi-y-hws/;https://www.alimarket.es/alimentacion/noticia/411862/neboda-levanta-1-8-m--para-consolidar-su-produccion-en-agricultura-vertical-a-escala-preindustrial;2026-09-21;nuevo
A5-005;Orizont (Sodena);aceleradora;aceleradora de innovacion agroalimentaria con dotacion economica y contratos con empresas tractoras;Espana;Pamplona;https://sodena.com/eu/orizont-acelerara-tres-proyectos-agroalimentarios-en-su-iv-edicion/;Aceleradora agroalimentaria creada por Sodena. Combina dotacion economica por startup, mentorizacion y acceso a capital riesgo de Sodena, mas el programa Match Point de contratos con grandes empresas.;Empresas tractoras del programa: General Mills, Viscofan, Grupo AN, Florette, Iberfruta, IAN Grupo Alimentario y Grupo Apex. Contrato minimo declarado de 25.000 EUR con la empresa tractora. Ediciones previas con dotacion de hasta 110.000 EUR por startup.;25000;110000;equity|participativo|desconocido;si;-;-;-;-;-;formulario_web;Es de los pocos programas espanoles cuyo ticket (hasta ~110 k EUR) cubre por si solo la parte privada de la ronda, y el Match Point puede convertirse en contrato comercial con Florette o Grupo AN.;Requiere vinculacion con Navarra y desarrollo del proyecto alli, calendario de convocatoria anual que no encaja con el term sheet del 31/10/2026. Importes de dotacion varian por edicion y no estan confirmados para la ultima convocatoria.;ninguno;68;B;media;https://www.sociedadespublicasdenavarra.es/eu/node/12763;https://www.sociedadespublicasdenavarra.es/eu/node/8683;2026-09-21;nuevo
A5-006;Sodena (Sociedad de Desarrollo de Navarra);publico_coinversor;sociedad publica de desarrollo regional con capital riesgo y prestamos;Espana;Pamplona;https://sodena.com/;Sociedad publica de desarrollo de Navarra que invierte en capital y financia proyectos empresariales innovadores, y que promueve la aceleradora agroalimentaria Orizont.;Orizont, su aceleradora agroalimentaria, va por su sexta edicion con cerca de 200 startups presentadas y tractoras del sector alimentario navarro.;desconocido;desconocido;equity|participativo;si;-;-;-;-;-;formulario_web;Inversor publico con foco agroalimentario y experiencia en instrumentos de deuda participativa.;Solo invierte en proyectos implantados en Navarra: Rootflow esta en Madrid. Bloqueo geografico practicamente absoluto salvo que se abriera una planta alli.;ninguno;46;C;media;https://sodena.com/;https://www.sociedadespublicasdenavarra.es/eu/node/8683;2026-09-21;nuevo
A5-007;Cajamar Innova (Fundacion Grupo Cajamar);aceleradora;incubadora y aceleradora de alta tecnologia del agua, agrotech y foodtech;Espana;Almeria;https://cajamarinnova.es/en/;Incubadora de alta tecnologia del agua del Grupo Cajamar con tres programas (Agua, Agrotech, Foodtech). No toma participacion accionarial y da acceso a centros experimentales de Almeria y Valencia.;95 empresas tecnologicas impulsadas en once convocatorias, las participantes han levantado mas de 25 M EUR con CDTI, FEI, Moira Capital y Swanlaab. Convocatoria abierta en marzo 2026.;0;0;desconocido;si;2026-03;-;-;-;-;formulario_web;El argumento de eficiencia hidrica radical de la hidroponia de precision es exactamente su tesis, y da acceso al Grupo Cajamar, primera entidad de credito agroalimentario de Espana.;NO PONE TICKET: es aceleracion e infraestructura, no inversion. El valor real es la puerta a la financiacion agro del Grupo Cajamar, que es deuda bancaria y no cubre la parte privada de la ronda. Base en Almeria.;ninguno;54;C;alta;https://www.cajamar.es/es/comun/informacion-corporativa/sala-de-prensa/noticias-agro/cajamar-innova-convoca-una-nueva-edicion-de-sus-programas-de-aceleracion-de-agua-agrotech-y-foodtech/;https://cajamarinnova.es/en/;2026-09-21;nuevo
A5-008;Pascual Innoventures (Calidad Pascual);cvc;corporate venturing de grupo lacteo y de bebidas, con incubadora Mylkcubator;Espana;Madrid;https://pascualinnoventures.com/en/;Brazo de corporate venturing 100% de Calidad Pascual. Invierte desde el balance del grupo en foodtech, con foco en agricultura celular, fermentacion de precision e ingredientes funcionales.;Mas de 2 M USD invertidos en las tres ediciones de Mylkcubator, con ecosistema que ha levantado 104,5 M USD. Tercera edicion ampliada a ingredientes funcionales, huevo, cafe, grasas, cacao y sustitutos.;desconocido;desconocido;equity;si;-;-;-;-;-;formulario_web;CVC alimentario en Madrid con tickets de incubacion pequenos y capacidad de distribucion del grupo Pascual en HORECA.;Tesis centrada en proteina alternativa, lacteo sin animal e ingredientes: un productor de microbrotes frescos queda fuera de su foco declarado. Invierte via convocatoria de Mylkcubator. TICKET UNITARIO NO PUBLICADO: solo consta el agregado de mas de 2 M USD en tres ediciones.;ninguno;52;C;media;https://vegconomist.com/startups-accelerators-incubators/pascual-innoventures-2m-mylkcubator-third-edition-launches/;https://pascualinnoventures.com/en/;2026-09-21;nuevo
A5-009;Bimbo Ventures (Grupo Bimbo);cvc;corporate venture capital de grupo panificador global, hub en Europa;Mexico;Ciudad de Mexico;https://grupobimbo.com/es/ventures;CVC de Grupo Bimbo creado en 2017. Invierte en minoritario y hace pilotos y pruebas de concepto en foodtech, ingredientes, automatizacion, cadena de suministro y logistica.;Ticket medio declarado de 300.000 a 1.000.000 USD. Partner corporativo del programa Raices 2026 de Eatable Adventures, que da acceso a startups agrifoodtech espanolas y latinoamericanas.;300000;1000000;equity;si;-;-;-;-;-;formulario_web;Acceso a canal industrial y a pilotos, via de entrada natural a traves del programa Raices de Eatable Adventures.;TICKET MINIMO ~300 k USD, 3x la ronda privada completa. Foco en panificacion, ingredientes y automatizacion, no en producto fresco. Decision corporativa lenta y fuera de Espana.;ninguno;40;C;media;https://www.descubre.vc/bimbo-ventures;https://grupobimbo.com/es/ventures;2026-09-21;nuevo
A5-010;Cargill Ventures;cvc;corporate venture capital de grupo agroalimentario global;Estados Unidos;Minneapolis;https://ecosistemastartup.com/cargill-ventures-invierte-en-agrifoodtech-30-startups-en-2026/;Brazo de corporate venturing de Cargill, activo en agrifoodtech con cartera declarada de 30 startups en 2026.;Grupo agroalimentario global con actividad inversora documentada en agrifoodtech en 2026. No se ha verificado ninguna operacion en Espana.;desconocido;desconocido;equity;si;2026-01;-;-;-;-;desconocida;Solo relevante como comprador estrategico o inversor de fases posteriores.;Sin evidencia de inversion en Espana ni de tickets pequenos. CVC de multinacional con procesos largos. Encaje nulo para una ronda de 100 k EUR en deuda participativa.;ninguno;30;C;baja;https://ecosistemastartup.com/cargill-ventures-invierte-en-agrifoodtech-30-startups-en-2026/;-;2026-09-21;nuevo
