id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A4-001;Food Business Angels (Eatable Adventures);red_angels;red de angels especializada en alimentacion bebidas y restauracion;Espana;Madrid;https://www.foodbusinessangels.es/;Primera red espanola de inversores privados especializada en restauracion, alimentacion, bebidas y servicios gastronomicos. Foco en proyectos seed y early stage que necesitan hasta 250.000 euros.;Red promovida por Eatable Adventures, aceleradora y VC de foodtech con sede en Madrid. Eatable coinvirtio en 2025 en la ronda de 1,84 M de Neboda (agricultura vertical, Galicia). Acuerdo con Crowdcube para completar rondas.;20000;250000;equity|participativo|CeP;si;2026-09;Jose Luis Cabanero;CEO y fundador de Eatable Adventures;-;-;formulario_web;Productor de microgreens KM0 en Madrid con margen bruto 74-77% y pipeline del 77,5% del Ano 1 ya identificado: exactamente el perfil food que esta red busca y sus angels aportan red HORECA directa.;Red vinculada a una aceleradora, puede priorizar startups de su programa. Sesgo hacia foodtech tecnologica frente a produccion agricola.;ninguno;92;A;alta;https://www.emprendedores.es/noticias-de-empresa/a76737/eatable-adventures-food-business-angels/;https://eatableadventures.com/;2026-09-21;nuevo
A4-002;Eatable Adventures;aceleradora;aceleradora y VC especializado en foodtech y agrifood;Espana;Madrid;https://eatableadventures.com/;Aceleradora, socio de innovacion y vehiculo de venture capital centrado en el sistema alimentario. Trabaja con startups, corporaciones y gobiernos y opera hubs de innovacion alimentaria.;Coinversor en la ronda de 1,84 M de Neboda (agricultura vertical descentralizada, Galicia) junto a Clave Capital, Unirisco, Xesgalicia y CDTI Innvierte. Impulsa Food Business Angels.;desconocido;desconocido;equity;si;2026-09;Jose Luis Cabanero;CEO y fundador;-;-;formulario_web;Rootflow es CEA operativo con ERP propio en produccion y roadmap IoT: encaje directo con su tesis de sistema alimentario y puerta de entrada a su red de angels y corporates.;Proceso de aceleracion puede ser mas largo que las 6 semanas objetivo. Ticket de equity mas que de deuda participativa.;ninguno;72;B;alta;https://eatableadventures.com/;https://startups-espanolas.es/neboda-levanta-184meur-la-startup-gallega-que-revoluciona-la-agricultura-vertical-en-espana/;2026-09-21;nuevo
A4-003;BAN madri+d (Business Angels Network madri+d);red_angels;red publica de business angels de la Comunidad de Madrid;Espana;Madrid;https://www.madrimasd.org/emprendedores/ban-madrid;Red de business angels promovida por la Fundacion madri+d para facilitar financiacion semilla a empresas de base cientifica y tecnologica de la Comunidad de Madrid. Organiza cuatro foros de inversion anuales.;Red generalista de base tecnologica. No consta cartera agro especifica, pero admite proyectos de tecnologia aplicada y el roadmap IoT y el ERP propio de Rootflow encajan en su criterio de base tecnologica.;10000;280000;equity|participativo;si;2026-09;-;-;-;-;formulario_web;Empresa madrilena, tangible y visitable en Las Rozas, con ERP propio V72 en produccion: encaja en el mandato regional de madri+d y el angel puede ir a ver la instalacion el sabado.;Foco declarado en base cientifico-tecnologica y deeptech. Ticket promedio de 280.000 euros muy por encima de la ronda de Rootflow. Entrada obligada via Startup Radar madri+d.;ninguno;70;B;alta;https://www.madrimasd.org/emprendedores/ban-madrid;https://business-angel.es/directorio-redes-business-angels/;2026-09-21;nuevo
A4-004;Keiretsu Forum Spain;red_angels;capitulo espanol de la mayor red internacional de business angels;Espana;Madrid;https://keiretsuforum.es/;Mayor red internacional de business angels con 53 sedes en 27 paises. En Espana opera capitulos en Madrid, Barcelona, Andalucia, Euskadi y Comunitat Valenciana-Murcia, con foros periodicos de presentacion ante inversores acreditados.;En 2026 ha cerrado 11 operaciones de 94 startups presentadas en 11 foros, con tickets de 50.000 a 500.000 euros. Sectores prioritarios declarados IA, salud, biotech y software B2B, no agro.;50000;500000;equity|participativo;si;2026-09;-;-;-;comunicacion@keiretsuforum.com;evento;Foro de inversion en Madrid el 27 de octubre de 2026: ventana de tiempo perfecta para el objetivo de term sheet del 31/10 y permite sindicar 2 o 3 tickets de 20-50 k.;Sectores prioritarios declarados no incluyen agro ni food. Cobra fees por presentar. Ya figura en la lista de identificados de Rootflow.;ninguno;69;B;alta;https://keiretsuforum.es/;https://elreferente.es/startups/11-startups-ya-han-conseguido-financiacion-en-keiretsu-forum-en-lo-que-va-de-2026/;2026-09-21;ya_identificado
A4-005;Faraday Venture Partners - Club Faraday;red_angels;club de inversores privados deal-by-deal con gestora CNMV;Espana;Madrid;https://www.faradayvp.com/;Club europeo de inversores privados fundado en 2011 que permite invertir operacion a operacion sin compromiso de cartera. 64 startups invertidas, 49 M de euros y mas de 200 socios del club.;Cartera agnostica sectorialmente. No consta especializacion agro, pero el modelo deal-by-deal con ticket minimo muy bajo permite sindicar la ronda de Rootflow entre varios socios.;2000;desconocido;equity|participativo;si;2026-09;-;-;-;-;formulario_web;Ticket minimo de 2.000 euros por ronda y decision deal-by-deal: la via mas rapida para sindicar 100 k entre varios socios sin comite de fondo.;Sector agnostico sin tesis agro. La parte de fondo regulado por CNMV solo admite inversores profesionales y tiene proceso mas lento que el club.;ninguno;71;B;alta;https://www.faradayvp.com/;https://elreferente.es/inversor/faraday-venture-partners/;2026-09-21;nuevo
A4-006;Catalytic Ventures (Open Value Foundation);impacto;vehiculo de inversion de impacto vinculado a fundacion;Espana;Madrid;https://openvaluefoundation.org/;Iniciativa de inversion de impacto de Open Value Foundation que apoya startups que combinan rentabilidad economica con generacion de valor social, medioambiental o tecnologico.;Tesis de impacto social y medioambiental. Rootflow encaja por eficiencia hidrica de la hidroponia, KM0 y reduccion de huella logistica, no por cartera agro previa documentada.;desconocido;desconocido;equity|participativo|deuda;si;2026-09;-;-;-;-;formulario_web;Hidroponia de precision en interior: ahorro de agua frente a cultivo en campo, KM0 real en Madrid y empleo local, con retorno financiero via participativo.;No se ha verificado ticket ni instrumento concretos. La marca Catalytic Ventures no tiene web propia operativa verificada.;ninguno;58;B;media;https://business-angel.es/directorio-redes-business-angels/;https://openvaluefoundation.org/;2026-09-21;nuevo
A4-007;SeedRocket - Club de Inversion;red_angels;aceleradora con club de inversion y campus para business angels;Espana;Madrid;https://www.seedrocket.com/;Primera aceleradora espanola para startups en fase inicial, con club de inversion propio, red de mentores-inversores y el vehiculo 4Founders Capital. Organiza el Campus para Business Angels en Madrid.;Wetaca, startup foodtech, gano el Campus de Emprendedores de SeedRocket, lo que acredita dealflow y apetito del club por proyectos de alimentacion.;desconocido;desconocido;equity;si;2026-09;-;-;-;-;evento;El Campus para Business Angels de Madrid concentra a decenas de angels formados que buscan ticket pequeno y proyecto comprensible: Rootflow se explica en dos minutos y se visita en veinte.;Perfil historico muy TIC y digital. El acceso al club suele pasar por el programa de aceleracion.;ninguno;60;B;alta;https://www.seedrocket.com/2025/05/07/business-angels-espana-ecosistema-inversion-startups/;https://www.seedrocket.com/eventos/campus-para-business-angels-by-seedrocket-14-edicion/;2026-09-21;nuevo
A4-008;AEBAN - Asociacion Espanola de Business Angels Networks;red_angels;asociacion nacional que agrupa mas de 50 redes de angels;Espana;Madrid;https://www.aeban.es/;Asociacion que agrupa a mas de 50 redes de business angels espanolas que representan a mas de 2.000 inversores privados. No invierte directamente: es el mapa de acceso a todas las redes del pais.;Su Informe AEBAN 2026, elaborado con la red de business angels del IESE, situa alimentacion y agricultura como el segundo sector de mayor interes de los angels espanoles con el 23%, solo por detras de salud.;20000;95525;equity|participativo|CeP;si;2026-06;-;-;-;-;email_generico;Usar el informe AEBAN como argumento: la mediana de inversion de un angel espanol es 20.000 euros y el 23% mira alimentacion y agricultura, justo el Plan C de Rootflow de 2 CeP de 20-25 k.;Es una asociacion de redes, no un inversor. No aporta capital directo. Su web tiene la cadena de certificado TLS incompleta y falla en fetch automatizado.;ninguno;57;B;alta;https://www.aeban.es/noticias/informe-aeban-2025-nota-prensa/;https://finanzasygestion.com/equity-gap-informe-aeban-2026/;2026-09-21;nuevo
A4-009;IESE Business Angels Network;red_angels;red de business angels de escuela de negocios con foros agrifood;Espana;Barcelona;https://www.iese.edu/es/emprendedores/business-angels/;Red creada en 2003 que reune a mas de 200 inversores activos, clubes de inversion de alumni, family offices y grandes empresas. Campus en Barcelona y Madrid.;Acuerdo con EIT Food para conectar startups agroalimentarias e inversores mediante el Foodtech and Agritech Investment Forum celebrado en Madrid. Elabora el Informe AEBAN de business angels.;20000;desconocido;equity|participativo|CeP;si;2026-06;-;-;-;businessangels@iese.edu;email_generico;Es la unica red de escuela de negocios con foro agrifood propio junto a EIT Food: Rootflow es CEA con ventas reales, no un prototipo de laboratorio.;Acceso preferente a alumni del IESE. Proceso de seleccion competitivo y agenda de foros trimestral que puede no encajar en 6 semanas.;ninguno;78;A;alta;https://www.iese.edu/es/emprendedores/business-angels/;https://capital-riesgo.es/es/articles/iese-business-angels-and-eit-food-join-forces-to-get-together-agrifood-startups-and-investors/;2026-09-21;nuevo
A4-010;Esade Alumni Business Angels (Esade BAN);red_angels;red de business angels de alumni de escuela de negocios;Espana;Barcelona;https://www.esadealumni.net/es/inversores/sobre-esade-ban;Red de inversores promovida por Esade Alumni, fundada en 2007. 48 M de euros invertidos, 317 startups financiadas, mas de 250 inversores y 20 foros de inversion al ano incluyendo foro en Madrid.;Red generalista con tickets desde 10.000 euros y ticket medio de 130.000 euros en fases pre-seed y seed. Reconocida por EBAN en 2016 como mejor red privada de business angels de Europa.;10000;1000000;equity|participativo|CeP;si;2026-09;-;-;-;entrepreneurship@alumni.esade.edu;email_generico;Tickets desde 10.000 euros y 20 foros al ano: la red donde mas facil es sindicar cuatro o cinco cuentas en participacion de 20-25 k en pocas semanas.;Sede y masa critica de inversores en Barcelona. Acceso preferente a alumni de Esade. Foco historico en tecnologia mas que en produccion agricola.;ninguno;70;B;alta;https://www.esadealumni.net/es/inversores/sobre-esade-ban;https://business-angel.es/directorio-redes-business-angels/;2026-09-21;nuevo
A4-011;Red de Inversores Privados y Family Offices de IESE;red_angels;plataforma de family offices e inversores privados de escuela de negocios;Espana;Barcelona;https://www.iese.edu/es/emprendedores/business-angels/;Plataforma del ecosistema IESE que conecta family offices e inversores privados de alto perfil con startups y proyectos con potencial de crecimiento.;Vinculada a la red IESE que organiza foros agrifood con EIT Food. No consta cartera agro propia documentada.;desconocido;desconocido;equity|participativo;si;2026-06;-;-;-;businessangels@iese.edu;intro_calida;Perfil de family office que valora activo real, deuda participativa con downside protegido y TIR base del 33% con apalancamiento publico 1:1 via ENISA.;Perfil de inversor de mayor patrimonio y ticket. Acceso practicamente solo por introduccion de alumni IESE.;ninguno;60;B;media;https://business-angel.es/directorio-redes-business-angels/;https://www.iese.edu/es/emprendedores/business-angels/;2026-09-21;nuevo
A4-012;IE Business School - Area 31 y Venture Network;red_angels;ecosistema emprendedor e inversor de escuela de negocios en Madrid;Espana;Madrid;https://www.ie.edu/entrepreneurship/;Centro de emprendimiento e innovacion de IE University en Madrid con la incubadora Area 31, los Venture Days como foro de inversion y sesiones semanales de pitch ante inversores.;Ecosistema generalista. Ha acelerado mas de 3.500 proyectos. No consta vertical agrifood especifica documentada.;desconocido;desconocido;equity;si;2026-09;-;-;-;-;evento;Sesiones semanales de pitch en Area 31 en Madrid: acceso rapido y barato a angels madrilenos con un proyecto que se puede visitar a 25 minutos del campus.;Orientado principalmente a proyectos de alumnos y miembros de la escuela. No es un vehiculo inversor formal con ticket definido.;ninguno;55;B;media;https://www.ie.edu/entrepreneurship/;https://www.ie.edu/entrepreneurship/ie-entrepreneurship-innovation-center/;2026-09-21;nuevo
A4-013;BIGBAN Investors Spain;red_angels;red nacional de inversores early stage;Espana;Valencia;https://bigban.org/;Red nacional de inversores early stage fundada en 2007 que agrupa a mas de 200 inversores en 20 provincias y 13 comunidades. Socios individuales, redes, clubes, aceleradoras, family offices y fondos.;Ha financiado mas de 300 startups a traves de mas de 17 vehiculos de coinversion y mas de 60 foros de inversion. Socios institucionales CaixaBank, ENISA, Capital Cell y Oracle.;20000;desconocido;equity|participativo|CeP;si;2026-09;-;-;-;-;formulario_web;Sus vehiculos de coinversion permiten agregar tickets pequenos y su socio institucional ENISA refuerza la logica del apalancamiento publico 1:1 que plantea Rootflow.;Sede en Valencia y masa critica levantina. Estructura asociativa con cuota de socio para inversores.;ninguno;66;B;alta;https://bigban.org/conoce-bigban/;https://business-angel.es/directorio-redes-business-angels/;2026-09-21;nuevo
A4-014;Angels Capital;red_angels;vehiculo inversor de Marina de Empresas vinculado a EDEM y Lanzadera;Espana;Valencia;https://www.angelscapital.es/;Vehiculo inversor integrado en Marina de Empresas fundado en 2008, con mas de 40 M de euros invertidos en mas de 70 empresas, con foco en emprendedores del entorno EDEM y Lanzadera.;Ecosistema vinculado a Mercadona y al sector de distribucion alimentaria valenciano. Cartera con negocios de consumo y alimentacion.;desconocido;desconocido;equity;si;2026-09;-;-;-;-;formulario_web;Proveedor premium de producto fresco KM0 para HORECA y distribucion con marca blanca: encaja con el ADN de distribucion alimentaria del ecosistema Marina de Empresas.;Prioriza fuertemente empresas pasadas por Lanzadera o EDEM. Lanzadera ya figura en la lista de identificados de Rootflow. Geografia valenciana.;ninguno;58;B;alta;https://www.angelscapital.es/;https://business-angel.es/directorio-redes-business-angels/;2026-09-21;nuevo
A4-015;BANC - Business Angels Network Catalunya;red_angels;red de business angels con foodtech entre sus sectores prioritarios;Espana;Barcelona;-;Primera red de business angels de Cataluna, fundada en 2002. Ha inyectado cerca de 10 M de euros en mas de 50 proyectos con ticket medio de 162.000 euros en fases semilla y arranque.;Declara foodtech entre sus sectores prioritarios, junto a biotech, industria 4.0, movilidad y construccion sostenible. Es una de las pocas redes espanolas con foodtech explicito en su tesis.;20000;162000;equity|participativo;si;2026-09;-;-;-;-;formulario_web;Foodtech es sector prioritario declarado y el ticket medio de 162 k encaja con toda la parte privada de la ronda de Rootflow en un solo lead.;No se ha podido verificar una web oficial operativa en la fecha de verificacion. Geografia catalana, lejos de la nave de Las Rozas.;ninguno;63;B;media;https://business-angel.es/directorio-redes-business-angels/;https://seedblink.com/blog/top-angel-clubs-and-investment-networks-in-spain;2026-09-21;nuevo
A4-016;Sitka Capital;red_angels;club privado con mas de 100 business angels;Espana;Barcelona;https://sitkacapital.com/;Club de inversion que da acceso a mas de 100 business angels para startups que buscan financiacion en fases tempranas.;Club generalista. No consta tesis agro o food especifica documentada.;desconocido;desconocido;equity|participativo;si;2026-09;-;-;-;-;formulario_web;Mas de 100 angels en un solo interlocutor: eficiente para sindicar varios tickets de 20-25 k en cuentas en participacion.;Informacion publica limitada sobre tickets, fees y operaciones cerradas. Sin tesis sectorial agro.;ninguno;56;B;media;https://sitkacapital.com/;https://seedblink.com/blog/top-angel-clubs-and-investment-networks-in-spain;2026-09-21;nuevo
