id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A1B-001;Vicasol S.C.A.;industrial_agro;cooperativa_hortofruticola;Espana;La Mojonera Almeria;https://www.vicasol.es;Cooperativa almeriense de 320 M EUR con crecimiento del 17 por ciento y fuerte capacidad inversora propia. Propiedad de socios agricultores con consejo rector que decide inversiones de diversificacion;Hortofruticola pura. 320 M EUR de ventas campana 2024-25 y estudio de valor social de 431 M EUR;desconocido;desconocido;desconocido;desconocido;2025-12;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. Para Vicasol es entrar en categoria gourmet de alto margen sin CAPEX propio;Decision por consejo rector puede alargar plazos;ninguno;68;B;alta;https://ipv4.agrodigital.com/2026/02/19/top-20-cooperativas-agro-que-mas-facturan-en-espana/;https://www.lavozdealmeria.com/economia/466060/mitad-cooperativas-top-andaluzas-estan-almeria.html;2026-09-21;nuevo
A1B-002;CASI S.C.A.;industrial_agro;cooperativa_hortofruticola;Espana;Almeria;https://www.casi.es;Mayor cooperativa de tomate de Europa con 298 M EUR. Crecimiento a doble digito y discurso de innovacion y sostenibilidad. Estructura cooperativa de propiedad concentrada en agricultores de Almeria;Tomate y hortalizas. 298,53 M EUR de facturacion en el ranking nacional de cooperativas;desconocido;desconocido;desconocido;desconocido;2025-12;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. CASI es monocultivo de tomate y los microbrotes le dan una categoria nueva de margen alto;Muy concentrada en tomate commodity y sin vehiculo inversor conocido;ninguno;63;B;alta;https://ipv4.agrodigital.com/2026/02/19/top-20-cooperativas-agro-que-mas-facturan-en-espana/;https://www.lavozdealmeria.com/economia/466060/mitad-cooperativas-top-andaluzas-estan-almeria.html;2026-09-21;nuevo
A1B-003;Murgiverde S.C.A. 2 grado;industrial_agro;cooperativa_segundo_grado;Espana;El Ejido Almeria;https://www.murgiverde.es;Cooperativa de segundo grado de 272 M EUR con crecimiento de doble digito. Las de segundo grado ya han demostrado que saben integrar entidades y crear estructuras nuevas;Hortofruticola. 272,16 M EUR en el top 20 nacional de cooperativas agroalimentarias;desconocido;desconocido;desconocido;desconocido;2025-12;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. Encaje como linea premium diferencial frente a retail europeo;Foco en commodity de invernadero y decision asamblearia;ninguno;62;B;alta;https://ipv4.agrodigital.com/2026/02/19/top-20-cooperativas-agro-que-mas-facturan-en-espana/;https://www.coexphal.es/organizacion/asociados/;2026-09-21;nuevo
A1B-004;Onubafruit S.C.A. 2 grado;industrial_agro;cooperativa_segundo_grado;Espana;Huelva;https://www.onubafruit.com;Segundo grado de berries con 310 M EUR en campana 2024-25. Agrupa cinco entidades y celebra asambleas centradas en innovacion y retos de futuro del sector de los frutos rojos;Berries y frutos rojos. 310 M EUR campana 2024-25;desconocido;desconocido;desconocido;desconocido;2025-10;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. Berries y microbrotes comparten canal gourmet y frescura extrema;Estacionalidad de berries y gobernanza de segundo grado;ninguno;63;B;alta;https://revistamercados.com/onubafruit-310-millones-campana-2024-2025/;https://ipv4.agrodigital.com/2026/02/19/top-20-cooperativas-agro-que-mas-facturan-en-espana/;2026-09-21;nuevo
A1B-005;Coplaca S.C. 2 grado;industrial_agro;cooperativa_segundo_grado;Espana;San Cristobal de La Laguna Tenerife;https://coplaca.es;Cooperativa platanera de segundo grado de Canarias con 161 M EUR en 2025 y vehiculo societario propio Coplaca de Inversiones a traves del cual sus socios participan en el grupo Eurobanan. Precedente real de toma de participaciones;Platano de Canarias. 161 M EUR facturados en 2025 y 30 por ciento de la produccion regional;desconocido;desconocido;equity;desconocido;2025-12;-;-;-;-;formulario_web;Rootflow como participada minoritaria peninsular en categoria premium. Ya existe precedente de Coplaca de Inversiones tomando participaciones en sociedades comercializadoras;Foco monoproducto platano y lejania geografica de Madrid;ninguno;66;B;alta;https://www.eldiario.es/canariasahora/eldiario-agricola/agricultura/coplaca-presenta-resultados-facturo-161-millones-euros-2025_1_13268400.html;https://coplaca.es/quienes-somos/;2026-09-21;nuevo
A1B-006;Europlatano S.A.;industrial_agro;comercializadora_hortofruticola;Espana;Los Llanos de Aridane La Palma;https://www.europlatano.es;Operador platanero de La Palma con 16,85 por ciento de la produccion canaria comercializada. Propiedad concentrada y estructura de decision corta;Platano de Canarias. 16,85 por ciento de la produccion comercializada segun Asprocan;desconocido;desconocido;desconocido;desconocido;2025-12;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. Diversificacion fuera del platano hacia categoria gourmet peninsular;Monoproducto y distancia a Madrid;ninguno;52;C;media;https://www.eldiario.es/canariasahora/eldiario-agricola/agricultura/coplaca-presenta-resultados-facturo-161-millones-euros-2025_1_13268400.html;https://platanodecanarias.es/asprocan/asociados/;2026-09-21;nuevo
A1B-007;Coopaman S.C.L. 2 grado;industrial_agro;cooperativa_segundo_grado;Espana;Las Pedronas Cuenca;https://www.coopaman.com;Cooperativa de segundo grado del ajo morado que agrupa seis cooperativas y esta reconocida como Entidad Asociativa Prioritaria de Interes Regional. Premiada por sostenibilidad e integrada comercialmente en Unica Group;Ajo morado de Las Pedronas. 2.000 hectareas y mas de 17.000 t anuales. 12,7 por ciento del volumen hortofruticola cooperativo de Castilla-La Mancha;desconocido;desconocido;desconocido;desconocido;2024-11;-;-;-;-;formulario_web;Microbrotes premium se profesionaliza y los grandes entran. Rootflow da entrada inmediata con capacidad y know-how ya montados en Madrid, marca blanca y KM 0 con entrega 24-48h. Ticket 50-100 k EUR sin cesion de control. Ajo y microbrotes comparten canal gourmet y Coopaman ya tiene musculo comercial via Unica;Monoproducto ajo y decision de segundo grado con seis cooperativas socias;ninguno;60;B;alta;https://www.coopaman.com/;https://revistamercados.com/coopaman-premiada-por-su-sostenibilidad-ambiental/;2026-09-21;nuevo
A1B-008;Champinter S.Coop. de C-LM;industrial_agro;cooperativa_setas_champinon;Espana;Villamalea Albacete;https://www.champinter.com;Cooperativa lider europea en champinon y setas con mas de 90 M EUR y la de mayor facturacion de primer grado en Castilla-La Mancha. Produccion en entorno controlado sin luz solar que es exactamente el know-how operativo adyacente al de Rootflow;Champinon y setas. Mas de 90 M EUR anuales y liderazgo europeo en gama de hongos comestibles;desconocido;desconocido;desconocido;desconocido;2024-11;-;-;-;-;formulario_web;Su cultivo en entorno controlado y su canal de setas gourmet encajan de forma natural con los microbrotes. Rootflow anade una categoria vegetal viva a su gama de hongos sin que Champinter monte planta;Gobernanza cooperativa y foco muy fuerte en un unico cultivo;ninguno;72;B;alta;https://www.lavozdetomelloso.com/43483/premios_cooperativos_castillala_mancha_reconocen_labor_champinter_virgen_vinas_progreso_coopaman;https://agroalimentariasclm.coop/premios-cooperativos-2022/;2026-09-21;nuevo
A1B-009;Neofungi S.Coop. 2 grado;industrial_agro;cooperativa_segundo_grado;Espana;Villamalea Albacete;https://www.champinter.com;Cooperativa de segundo grado de setas de la que forma parte Champinter y que comercializa mas del 50 por ciento del champinon fresco de Espana. Estructura ya acostumbrada a integrar entidades;Setas y champinon. Mas del 50 por ciento del champinon fresco comercializado en Espana;desconocido;desconocido;desconocido;desconocido;2024-11;-;-;-;-;formulario_web;Gama de hongos gourmet mas microbrotes es un pack natural para restauracion. Rootflow aporta la pata vegetal viva;Estructura de segundo grado con decision lenta y poca informacion publica;ninguno;58;B;media;https://www.lavozdetomelloso.com/43483/premios_cooperativos_castillala_mancha_reconocen_labor_champinter_virgen_vinas_progreso_coopaman;https://agroalimentariasclm.coop/premios-cooperativos-2022/;2026-09-21;nuevo
A1B-010;NovaCoop Mediterrania;industrial_agro;joint_venture_cooperativa;Espana;Alcarras Lleida;https://actelgrup.com;Sociedad participada al 50 por ciento por Actel y Fruits de Ponent que arranco facturando 160 M EUR. Es el precedente mas claro y reciente de cooperativas espanolas creando un vehiculo societario conjunto para entrar en negocios nuevos;Fruta de hueso y pepita citricos aceite y almendra. 160 M EUR de facturacion inicial;desconocido;desconocido;equity;desconocido;2024-10;-;-;-;-;evento;Si Actel y Fruits de Ponent saben montar una sociedad conjunta desde cero tambien saben tomar una minoria en Rootflow. Entrada en categoria premium sin CAPEX propio y con marca blanca;Sociedad joven centrada en integrar sus dos matrices;ninguno;67;B;alta;https://www.agrodiario.com/articulo/industria-agroalimentaria/novacoop-nueva-firma-actel-fruits-ponent-arranca-facturando-160-millones/20241010062114058784.html;https://actelgrup.com/en/actel-and-fruits-de-ponent-unveil-at-fruit-logistica-their-agribusiness-project-aimed-at-joining-forces-and-generating-new-opportunities-for-their-partners/;2026-09-21;nuevo
