id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A6-001;MytripleA Financiación PFP S.L.;crowdfunding;crowdlending pymes + factoring y confirming;España;Golmayo (Soria);https://mytriplea.com;Plataforma de financiación participativa autorizada CNMV nº10 que presta a pymes españolas vía inversores. El grupo ofrece además factoring y confirming a través de MytripleA Gestión S.L.;Prestamista generalista a pymes españolas de cualquier sector. No se ha localizado cartera agro específica publicada.;50000;desconocido;deuda;si;2026-09;-;-;-;-;formulario_web;Cubre en una sola casa los tres productos que Rootflow necesita: préstamo de CAPEX desde 50 k€, factoring del 60 % de facturas y confirming, con posibilidad de aval SGR y sin consumir CIRBE.;Préstamo bancario clásico, no participativo. Mínimo 50 k€. Puede requerir aval de SGR como garantía.;ninguno;63;B;alta;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://mytriplea.com/prestamos/;2026-09-21;nuevo
A6-002;Ecrowd Invest PFP S.L.;crowdfunding;crowdlending de impacto;España;Barcelona;https://www.ecrowdinvest.com;Plataforma CNMV nº17 de préstamos colectivos a proyectos de impacto positivo. Financia hasta 300.000 € por proyecto con criterios más abiertos que la banca.;Alimentación y agricultura figuran entre los ocho sectores que financia junto a agua, energía y economía circular. 11,2 M€ prestados en total.;desconocido;300000;deuda;si;2026-09;-;-;-;inversores@ecrowdinvest.com;formulario_web;Agricultura urbana KM 0 con ahorro de agua e impacto medible es exactamente su tesis, y 100-300 k€ está dentro de su rango habitual con decisión en semanas.;El importe se levanta entre inversores minoristas, por lo que el cierre depende del éxito de la campaña.;ninguno;76;A;alta;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.ecrowdinvest.com/;2026-09-21;nuevo
A6-003;Sociedad Económica para el Desarrollo de la Financiación Alternativa Colectual PSFP S.L.;crowdfunding;crowdlending pymes;España;Valencia;https://colectual.com;Plataforma CNMV nº21 especializada en préstamos a pymes españolas financiados por una comunidad de inversores particulares e institucionales.;Prestamista generalista a pymes. No se ha podido verificar cartera agro concreta.;desconocido;desconocido;deuda;si;2026-09;-;-;-;-;formulario_web;Préstamo a pyme con DSCR mínimo 3,70 y 77,5 % de los ingresos del Año 1 ya contratados es un perfil de riesgo cómodo para su comunidad inversora.;No se ha podido leer su web desde nuestro entorno, importes y requisitos sin confirmar. Verificar rango de ticket antes de contactar.;ninguno;55;B;media;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://colectual.com/;2026-09-21;nuevo
A6-004;EvenFi Fintech S.A.;crowdfunding;crowdlending y bonos para empresas;España;Barcelona;https://www.evenfi.com;Plataforma CNMV nº5 de origen italiano que financia expansión empresarial, activos tangibles, renovables y tecnología mediante préstamos y bonos colectivos.;Más de 36 M€ financiados en más de 500 campañas. Sectores declarados: inmuebles, renovables, tecnología y expansión empresarial.;desconocido;desconocido;deuda;si;2026-09;-;-;-;-;formulario_web;Financiación de expansión con activos tangibles: el CAPEX de la nave (racks, cámara frigorífica, furgoneta) encaja con su criterio de garantía sobre activo real.;Peso alto de inmobiliario y renovables en su cartera. Evaluación declarada de 2 a 4 semanas.;ninguno;59;B;alta;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.evenfi.com/es/;2026-09-21;nuevo
A6-005;GoCrowd S.L.;crowdfunding;crowdlending y bonos;España;-;https://www.gocrowd.es;Plataforma CNMV nº25 que combina crowdfunding de préstamo, bonos y capital. 156,7 M€ financiados en 56 operaciones según su propia web.;Publica campañas de hostelería y restauración de importe pequeño, como el proyecto Restaurante O Quinito de 8.000 €.;desconocido;desconocido;deuda|equity;si;2026-09;-;-;-;-;formulario_web;Ya financian proyectos de restauración de importe pequeño, por lo que un préstamo a un proveedor KM 0 de HORECA premium es un activo reconocible para su base inversora.;Tamaño medio de campaña muy bajo frente a las cifras agregadas que publica. Verificar capacidad real de colocar 100 k€.;ninguno;63;B;media;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.gocrowd.es/;2026-09-21;nuevo
A6-006;StockCrowd Platform S.L. (Cresor Investment);crowdfunding;crowdlending y crowdequity;España;Barcelona;https://www.stockcrowdin.com/in/;Plataforma CNMV nº19 que financia proyectos mediante préstamos, participaciones sociales y otros valores.;No se ha localizado cartera agroalimentaria publicada.;desconocido;desconocido;deuda|equity;si;2026-09;-;-;-;-;formulario_web;Puede instrumentar a la vez el tramo de deuda y el tramo de ampliación con prima que Rootflow necesita para desbloquear ENISA.;Sin evidencia de operaciones agro. Información pública de rangos de ticket muy limitada.;ninguno;49;C;media;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.stockcrowdin.com/in/;2026-09-21;nuevo
A6-007;Adventurees Capital PFP S.L. (Alius Cap);crowdfunding;crowdfunding de préstamo y capital;España;-;https://www.aliuscap.com;Plataforma de financiación participativa autorizada por la CNMV con el número 11 desde noviembre de 2023.;No verificada.;desconocido;desconocido;desconocido;desconocido;2023-11;-;-;-;-;formulario_web;Alternativa de plataforma regulada para colocar un tramo de 20-50 k€ entre inversores minoristas.;Su dominio presenta un certificado TLS que no coincide con el host, no se ha podido verificar actividad reciente ni rangos de ticket.;ninguno;35;C;baja;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.aliuscap.com;2026-09-21;nuevo
A6-008;Business Dream Factory PSFP S.L. (BDKapital);crowdfunding;plataforma de financiación participativa;España;-;https://www.bdkapital.es;Plataforma autorizada por la CNMV con el número 23 desde abril de 2024.;No verificada.;desconocido;desconocido;desconocido;desconocido;2024-04;-;-;-;-;formulario_web;Plataforma regulada de reciente autorización, potencialmente receptiva a operaciones pequeñas para construir cartera.;Web prácticamente vacía, sin información de producto, importes ni operaciones cerradas.;ninguno;34;C;baja;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.bdkapital.es;2026-09-21;nuevo
A6-009;Crowpire S.L.;crowdfunding;plataforma de financiación participativa;España;-;https://www.crowpire.com;Plataforma autorizada por la CNMV con el número 13 desde noviembre de 2023, posicionada como inversión en comunidad.;No verificada.;desconocido;desconocido;desconocido;desconocido;2023-11;-;-;-;-;formulario_web;Opción secundaria de plataforma regulada para un tramo minorista.;Web con contenido mínimo, sin producto ni operaciones públicas. Prioridad baja.;ninguno;33;C;baja;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.crowpire.com/;2026-09-21;nuevo
A6-010;Smart Credit PSFP S.L.;crowdfunding;plataforma de financiación participativa;España;-;-;Plataforma autorizada por la CNMV con el número 24 desde abril de 2024. El registro oficial no publica página web para esta entidad.;No verificada.;desconocido;desconocido;desconocido;desconocido;2024-04;-;-;-;-;desconocida;Sin ángulo identificado hasta confirmar que la plataforma está operativa.;Sin web en el registro CNMV y el dominio smartcredit.es está en venta. No hay evidencia de actividad. Descartar salvo que se confirme operativa.;ninguno;28;C;baja;https://www.cnmv.es/portal/consultas/servicios-financiacion-participativa/listado-proveedores?lang=es;https://www.smartcredit.es/;2026-09-21;nuevo
