id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A1C-001;Mercadona S.A.;cadena_valor;cadena de distribucion con innovacion abierta canalizada via Lanzadera;Espana;Tavernes Blanques (Valencia);https://info.mercadona.es;Sin vehiculo de inversion propio. Canaliza la innovacion abierta a traves del programa corporate con Lanzadera y mantiene abierto el alta de proveedores Totaler;Programa corporate Mercadona-Lanzadera busca empresas innovadoras para la cadena de produccion alimentaria sostenible. Modelo Totaler paso de 120 interproveedores a unos 1.400 proveedores y es abierto a nuevas entradas;0;0;desconocido;desconocido;-;-;-;-;-;formulario_web;Microbrotes premium KM 0 y marca blanca para seccion de frescos con capacidad instalada y ERP propio en Madrid;No invierte capital. El programa con Lanzadera es equity free y sin ticket. El alta como proveedor Totaler exige volumen y auditorias y es un proceso de muchos meses;ninguno;40;C;alta;https://info.mercadona.es/en/current-affairs/mercadona-and-lanzadera-are-seeking-innovative-companies-to-drive-sustainable-change-in-the-food-production-chain/news;https://lanzadera.es/oportunidad/innovacion-abierta-mercadona/;2026-09-21;nuevo
A1C-002;EROSKI Venture Program;aceleradora;programa corporate de innovacion abierta de Eroski con aportacion economica;Espana;Elorrio (Bizkaia);https://corporativo.eroski.es/innovacion-tecnologia/venture-program/;Programa de venturing corporativo de Eroski de unos 4 meses que testa y valida proyectos con startups y aporta ayuda economica a las ganadoras sin coste ni cesion de equity;Convocatoria dirigida entre otros a agricultura regenerativa y food service. Segunda edicion lanzada en octubre de 2024 y convocatoria posterior con arranque en septiembre y cierre ante el Consejo de Direccion en diciembre;desconocido;desconocido;desconocido;si;2024-10;-;-;-;openinnovation@eroski.es;email_generico;Piloto de microbrotes KM 0 en tienda y food service con produccion hidroponica de alta eficiencia hidrica y capacidad de marca blanca;La ayuda economica no esta publicada y probablemente sea de pocos miles de euros. No es una ronda de inversion sino un piloto. Sede en Bizkaia y logistica lejos de Madrid;ninguno;70;B;alta;https://corporativo.eroski.es/innovacion-tecnologia/venture-program/;https://www.tulankide.com/es/eroski-lanza-la-segunda-edicion-de-su-venture-program;2026-09-21;nuevo
A1C-003;Dastore (Carrefour y daphni);cvc;fondo de capital riesgo de Carrefour gestionado con daphni para retail digital;Francia;Paris;https://daphni.com;Fondo de venture de Carrefour dotado con 80 M EUR para invertir en startups de retail digital en fase temprana con foco en ecommerce datos logistica y servicios financieros;Carrefour opera mas de 1.600 tiendas en Espana y el fondo da a las participadas aceleracion comercial y acceso a clientes del grupo;500000;5000000;equity;si;-;-;-;-;-;formulario_web;Produccion de microbrotes KM 0 para surtido de frescos y marca propia en Madrid con trazabilidad digital via ERP propio;Tesis de retail digital y tecnologia no de produccion agricola. Ticket muy por encima de 100 k EUR. Decision en Paris y proceso largo;ninguno;28;C;media;https://www.reasonwhy.es/actualidad/carrefour-dastore-fondo-capital-riesgo-retail-digital;https://www.foodretail.es/retailers/carrefour-alianza-daphni-inversion-startup_0_1644435564.html;2026-09-21;nuevo
A1C-004;DIA Espana (Nexus by DIA);cadena_valor;cadena de distribucion con laboratorio de innovacion con startups y convocatoria de proveedores pyme;Espana;Las Rozas de Madrid;https://www.diacorporate.com;Sin CVC propio. Trabaja con startups a traves del innovation lab Nexus by DIA operado con L Marks y abre convocatorias nacionales de proveedores pyme y productores locales para marca propia;Nexus by DIA recibio 119 candidaturas y selecciono cinco startups que pilotaron en la sede de DIA en Las Rozas de Madrid. Convocatoria de proveedores pyme para marca DIA en frescos y refrigerados;0;0;desconocido;desconocido;-;-;-;-;-;formulario_web;Vecino de Las Rozas. Microbrotes y flores comestibles KM 0 para marca propia y surtido premium de frescos con entrega en 24 a 48 horas;El programa Nexus es antiguo y sin evidencia de continuidad reciente. No hay vehiculo inversor. DIA esta en reestructuracion y prioriza precio sobre premium;ninguno;38;C;media;https://lmarks.com/case-study/nexus-by-dia/;https://www.eu-startups.com/2017/07/nexus-dia-is-opening-its-doors-to-work-with-startups-that-are-shaping-the-future-of-supermarket-shopping-sponsored/;2026-09-21;nuevo
A1C-005;Alcampo (Auchan Retail Espana);cadena_valor;cadena de distribucion con politica de compra a pequenos productores locales;Espana;Madrid;https://www.alcampocorporativo.es;No tiene vehiculo inversor identificado en Espana. Su palanca es la compra directa a pequenos productores locales y el apoyo a emprendedores via franquicia y Netmentora Madrid;En 2024 compro a 5.527 proveedores espanoles por 3.735 M EUR incluyendo unos 1.300 pequenos productores locales que venden solo a tiendas Alcampo de su zona;0;0;desconocido;desconocido;-;-;-;-;-;formulario_web;Proveedor local de microbrotes para tiendas de Madrid con cosecha bajo pedido y entrega en 24 a 48 horas;No invierte en startups. Solo relacion comercial de compra. Negociacion de compras centralizada y presion en precio;ninguno;35;C;media;https://ecomercioagrario.com/alcampo-realizo-compras-a-proveedores-espanoles-por-valor-de-3-735-mill-e/;https://www.alcampocorporativo.es/quienes-somos/;2026-09-21;nuevo
A1C-006;Lidl Espana;cadena_valor;cadena de distribucion con centro de innovacion de marca propia y academia de proveedores con financiacion verde;Espana;Montcada i Reixac (Barcelona);https://empresa.lidl.es/;Sin CVC. Su via es el centro de innovacion LidLab para producto de marca propia y la Lidl Supplier Academy que ofrece formacion y financiacion verde a mas de 400 proveedores de marca propia;Lidl Supplier Day reunio 300 proveedores en su edicion de 2026. Acuerdo con ProVeg Incubator para identificar startups de alternativas vegetales e incorporarlas a la marca Vemondo;0;0;deuda;desconocido;2026-01;-;-;-;-;formulario_web;Microbrotes KM 0 para marca propia premium y categoria de frescos con capacidad escalable x18 tras el salto de nave;No invierte capital en startups. La financiacion de la Supplier Academy esta ligada a proyectos de sostenibilidad de proveedores ya homologados. Homologacion exigente y volumenes altos;ninguno;34;C;media;https://empresa.lidl.es/sala-de-prensa/actualidad-lidl/lidl-acelera-la-transicion-ecologica-de-sus-proveedores-con-la-lidl-supplier-academy-su-plataforma-pionera-de-formacion-y-financiacion-verde;https://www.foodretail.es/retailers/lidl-presenta-lidlab-su-primer-centro-de-innovacion-de-marca-propia-a-nivel-mundial.html;2026-09-21;nuevo
A1C-007;El Corte Ingles;cadena_valor;gran distribucion con participacion en programas de innovacion abierta y premios con capital semilla;Espana;Madrid;https://www.elcorteingles.es;No tiene CVC abierto a terceros. Participa como empresa tractora en ANCES Open Innovation con Informatica El Corte Ingles y patrocina premios a jovenes emprendedores con capital semilla de 8.000 EUR;Informatica El Corte Ingles figura entre las empresas tractoras de ANCES Open Innovation. El Corte Ingles es categoria propia en los Premios Jovenes Emprendedores con 8.000 EUR de capital semilla;8000;8000;equity;desconocido;2025-06;-;-;-;-;formulario_web;Microbrotes y flores comestibles KM 0 para Club del Gourmet y Supercor con formatos monodosis para emplatado;El capital semilla de 8.000 EUR es un premio no una ronda. Los retos de innovacion son tecnologicos y no de producto fresco. El alta como proveedor gourmet es comercial y no inversora;ninguno;33;C;media;https://elreferente.es/innovadores/el-programa-ances-open-innovation-reune-a-11-empresas-que-retaran-a-los-emprendedores-a-la-creacion-de-soluciones-tecnologicas/;https://emprendedores.es/ayudas/cuatro-convocatorias-abiertas-al-talento-y-a-la-innovacion/;2026-09-21;ya_identificado
A1C-008;Ahorramas S.A.;cadena_valor;cadena de supermercados de proximidad madrilena lider en frescos con base de proveedores local;Espana;Velilla de San Antonio (Madrid);https://corporativa.ahorramas.com/;Sin vehiculo inversor conocido. Es el mayor operador regional de Madrid con posicionamiento explicito en producto fresco de calidad y mas del 80 por ciento de proveedores locales;Mas de 290 tiendas en Madrid Castilla-La Mancha y Castilla y Leon y mas de 14.000 empleados. Mas del 80 por ciento de sus proveedores son locales. Asociada a Grupo IFA;0;0;desconocido;desconocido;-;-;-;-;-;formulario_web;Productor madrileno de microbrotes con entrega en 24 a 48 horas desde cosecha para reforzar el liderazgo en frescos y KM 0 de la cadena en su mercado natural;No hay evidencia de programa de inversion ni de innovacion abierta. Relacion posible solo como proveedor. Empresa familiar poco mediatica y sin canal publico de emprendimiento;ninguno;40;C;media;https://corporativa.ahorramas.com/quienes-somos/;https://grupoifa.com/en/asociado/ahorramas-s-a-2/;2026-09-21;nuevo
A1C-009;Grupo Uvesco (BM Supermercados);cadena_valor;cadena regional de supermercados con red de pequenos proveedores locales de frescos;Espana;Irun (Gipuzkoa);https://www.uvesco.es/;Sin vehiculo inversor. Su eje estrategico es el producto fresco local y la colaboracion con pequenos productores. Es miembro de la Plataforma de Innovacion Abierta de AECOC;Acuerdos con mas de 400 pequenos productores locales y 251 M EUR de compras a mas de 490 pequenos proveedores. Plan estrategico 2026-2029 con 200 M EUR y 100 nuevas tiendas;0;0;desconocido;desconocido;2026-01;-;-;-;-;formulario_web;Microbrotes de productor independiente con formatos a medida y marca blanca para la seccion de frescos;No invierte en startups. Operacion concentrada en el norte de Espana sin presencia en Madrid lo que hace inviable la logistica KM 0;ninguno;28;C;media;https://revistamercados.com/bm-supermercados-grupo-uvesco-el-producto-fresco-local-y-de-calidad-es-nuestro-valor-diferencial/;https://www.aecoc.es/servicios/innovation-hub/plataforma-innovacion-abierta/;2026-09-21;nuevo
A1C-010;bonArea Agrupa (Corporacion Alimentaria Guissona);industrial_agro;grupo alimentario verticalmente integrado con red propia de tiendas y proyectos de I+D;Espana;Guissona (Lleida);https://www.bonarea-agrupa.com/;Grupo integrado de produccion y distribucion propia sin vehiculo de venture. Canaliza innovacion mediante proyectos de I+D consorciados RIS3CAT y ACCIO;Participa en proyectos KETRENOVIN Q-PORK SMARTPROD UMBILICAL SMARTFARM y LIPOXIFEED. Inversion de 400 M EUR en un nuevo centro alimentario en Aragon y expansion de tiendas;0;0;desconocido;desconocido;-;-;-;-;-;formulario_web;Categoria de microbrotes premium lista para su red de tiendas propia sin necesidad de desarrollo interno;Modelo cerrado de integracion vertical que produce todo internamente. Sin programa abierto a startups ni historial de inversion externa;ninguno;24;C;media;https://www.bonarea-agrupa.com/es/public/ResearchProjects;https://www.innovacc.cat/en/socis-empreses/corporacion-alimentaria-guissona/;2026-09-21;nuevo
