id;entidad;tipo;subtipo;pais;ciudad;web;tesis_resumen;evidencia_agro_food;ticket_min_eur;ticket_max_eur;instrumentos;acepta_minoritario_sin_control;ultima_operacion_fecha;persona_contacto;cargo;linkedin_url;email_publico;via_entrada;angulo_pitch;red_flags;conflicto;score;tier;confianza;fuente_url_1;fuente_url_2;fecha_verificacion;estado
A1A-001;Jeronimo Barrio S.L.;cadena_valor;mayorista_mercamadrid_gourmet;Espana;Madrid;https://www.lossatas.es;Mayorista de Mercamadrid naves C y D que YA comercializa flores comestibles y microbrotes en su catalogo publicado, junto a cuarta gama y distribucion Florette. Empresa familiar con dos administradores de la familia Barrio.;Catalogo ASOMAFRUT: lombarda, col china, pachoy, hinojo, nabo daycon, FLORES COMESTIBLES, MICROBROTES, cuarta gama y ecologico. Distribuidor Florette. Importa de Marruecos, Alemania, Francia, Holanda y Portugal.;desconocido;desconocido;desconocido;desconocido;-;Jose Luis Barrio;Administrador;-;administracion@jeronimobarrio.es;email_generico;Ya vende la categoria: hoy compra microbrotes y flores comestibles a terceros o de importacion. Rootflow le da KM 0 Las Rozas cosechado bajo pedido con 24-48 h, marca blanca Jeronimo Barrio y margen por kg muy superior. Entrada en capital para asegurar suministro exclusivo en Mercamadrid.;No hay evidencia publica de actividad inversora. Tamano no verificado.;ninguno;82;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=54;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-002;Frutas Hermanos Montes S.A. - La Froutique;cadena_valor;mayorista_premium_marca_propia;Espana;Madrid;https://lafroutique.com;Se autodefine Premium Wholeseller. Tercera generacion familiar (fundada 1986 por Jesus Montes), posicionada en producto exclusivo de calidad premium con marca y red propia La Froutique de fruterias gourmet en Madrid. Certificado Froutique Global Luxury Fruit Seller.;Nave D puestos 23-25 y modulo B-8 29 de Mercamadrid. Catalogo con tomates gourmet, uva sin semilla, aguacate, granada e importacion aerea. Servicio de consultoria y coaching al sector hortofruticola. Facturacion +12 por ciento interanual segun registros mercantiles.;desconocido;desconocido;desconocido;desconocido;-;Esther Montes;Directora de Ventas;-;montes@hermanosmontes.com;email_generico;Es el perfil exacto: marca propia premium y red de fruterias gourmet. Los microbrotes y flores comestibles de Rootflow encajan en La Froutique como categoria de altisimo margen por kg y refuerzan su relato de lujo. Marca blanca La Froutique disponible desde el dia uno.;Plantilla pequena (aprox. 6 empleados en registro), capacidad de ticket por confirmar.;ninguno;82;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=29;https://es.linkedin.com/company/hermanos-montes-sa;2026-09-21;nuevo
A1A-003;Frutas Tellez S.A.;cadena_valor;mayorista_hierbas_aromaticas;Espana;Madrid;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=40;Dos generaciones de mayoristas en Mercamadrid nave F. ESPECIALIZADA EN HIERBAS AROMATICAS con surtido de quince variedades (albahaca, ligustico, salicornia, citronella) mas IV y V gama y producto de proximidad. Es el mayorista de Mercamadrid mas cercano a la categoria de Rootflow.;Ficha ASOMAFRUT: especializacion declarada en hierbas aromaticas, campanas de melocoton de Calanda El Miguelico y freson de Palos de la Frontera, IV y V gama, productos de proximidad.;desconocido;desconocido;desconocido;desconocido;-;Jose Tellez Illana;Gerente;-;frutastellez@frutastellez.com;email_generico;Ya ha construido un negocio de alto margen sobre hierbas aromaticas de bajo volumen: los microbrotes y las flores comestibles son la extension natural de esa linea. Rootflow aporta produccion propia en Madrid bajo pedido frente a la albahaca importada, y marca blanca Tellez.;Empresa pequena de puesto de mercado. Capacidad de ticket no verificada.;ninguno;80;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=40;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-004;Riaza-Azair S.L.;cadena_valor;mayorista_verdura_cuarta_gama;Espana;Madrid;https://www.riaza-azair.com;Mayorista de verdura y hortaliza en naves C y D con marca propia de cogollos XUGUX, hierbas aromaticas en catalogo y una linea muy desarrollada de cuarta gama (canonigo, escarola, rucula, mezclum de lechugas, berro de Huerta Peralta).;Ficha ASOMAFRUT con catalogo detallado que incluye hierbas aromaticas, mezclum, berro y setas shi-take. Gerente y comercial identificados.;desconocido;desconocido;desconocido;desconocido;-;Juan Riaza Riaza;Gerente;-;-;formulario_web;Su cliente es el que compra mezclum y brotes tiernos: los microbrotes de Rootflow suben el ticket medio de esa misma cesta. Cosecha bajo pedido en Las Rozas con entrega 24-48 h y marca propia XUGUX en formato microbrote.;Email publico generico no disponible. Tamano no verificado.;ninguno;77;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=69;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-005;Laumont S.L.;cadena_valor;mayorista_gourmet_trufa_setas;Espana;Madrid;https://www.laumont.es;Mayorista especializado exclusivamente en trufas y setas silvestres, con delegacion propia en Mercamadrid nave F y equipo comercial dedicado que asesora al cliente. Es el referente espanol de producto gourmet de alta rotacion en valor y baja en kilos.;Ficha ASOMAFRUT: boletus edulis, trufa melanosporum, niscalo, chantarela. Fresco, congelado, deshidratado y conserva. Cuatro comerciales identificados en Madrid.;desconocido;desconocido;desconocido;desconocido;-;Jose Maria Gonzalez;Director Comercial Madrid;-;madrid@laumont.es;email_generico;Vende exactamente al mismo chef y con la misma logica de euro por gramo. Microbrotes y flores comestibles completan su cesta gourmet sin canibalizar la trufa, y Rootflow le da produccion en Madrid en vez de importacion. Encaje evidente de marca blanca Laumont.;Sede corporativa fuera de Madrid (Lleida). La decision de inversion puede no ser local.;ninguno;78;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=55;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-006;Frutas Bouhaben S.L.;cadena_valor;mayorista_hortaliza_especialidad;Espana;Madrid;https://www.frutasbouhaben.com;Mayorista familiar de naves B y B-8 cuyo catalogo declarado son remolacha, rabanitos, fruta de hueso y HIERBAS AROMATICAS. Importa, exporta y reparte a establecimientos. Remolacha y rabano son dos de las catorce variedades que cultiva Rootflow.;Ficha ASOMAFRUT con catalogo de remolacha, rabanitos y hierbas aromaticas. Servicios de importacion, exportacion y reparto a establecimientos.;desconocido;desconocido;desconocido;desconocido;-;Ismael Bouhaben;Departamento Comercial;-;-;formulario_web;Vende remolacha y rabano en producto adulto: Rootflow le da la version microbrote de su propio catalogo, con margen por kg entre diez y veinte veces superior y sin cambiar de cliente. Reparte ya a establecimientos, asi que la logistica existe.;Solo email de contacto personal publicado. Tamano no verificado.;ninguno;76;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=24;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-007;Palacios Roca S.A.;cadena_valor;mayorista_cuarta_gama_cadenas;Espana;Madrid;https://palaciosroca.com;Distribuidor mayorista de nave B especializado en servicio a cadenas, con linea propia de zumos, frutas cortadas y BROTES TIERNOS en cuarta gama. Presidente y departamento comercial identificados.;Ficha ASOMAFRUT: cuarta gama con brotes tiernos, zumos y frutas cortadas, uva de mesa, nuez y castana. Cinco puestos en nave B.;desconocido;desconocido;desconocido;desconocido;-;Felix Palacios;Presidente;-;administracion@palaciosroca.com;email_generico;Ya tiene brotes tiernos en su linea de cuarta gama, es decir ya compra la categoria fuera. Rootflow sustituye ese suministro por produccion propia en Madrid con cosecha bajo pedido y sin merma de stock, y abre la version premium para sus cadenas.;Cliente principal son cadenas de distribucion, con presion de precio.;ninguno;76;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=66;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-008;Frutas Pinto Piris S.L.;cadena_valor;mayorista_tomate_premium;Espana;Madrid;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=36;Mayorista de nave F posicionado integramente en producto premium de nicho: tomate Raf, tomate purpura, tomate rosa de Barbastro y esparragos. No compite en volumen sino en diferenciacion, el perfil exacto que describe el criterio de puntuacion.;Ficha ASOMAFRUT con productos destacados tomate Raf, tomate purpura, tomate rosa de Barbastro y esparragos. Administrador identificado.;desconocido;desconocido;desconocido;desconocido;-;Blas Vilchez Pastrana;Administrador;-;frutaspintopiris@gmail.com;email_generico;Su cliente paga por singularidad, no por kilo. Microbrotes y flores comestibles de Las Rozas son el mismo argumento de venta que su tomate rosa de Barbastro y le permiten cerrar el emplatado completo del chef.;Empresa de un solo puesto. Capacidad de ticket probablemente baja.;ninguno;75;A;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=36;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-009;Cultivar S.A.U.;cadena_valor;importador_mayorista_marca_propia;Espana;Madrid;https://www.cultivar.net;Importador y mayorista de nave F con seis puestos y marcas propias Exotica Premium y Cozumel. Su catalogo publicado incluye explicitamente mini verduras, GERMINADOS y hierbas, ademas de especialidades de patata ratte y violeta.;Ficha ASOMAFRUT: marca propia Exotica Premium y Cozumel, distribuidor de Perlim, Zespri, Del Monte y Primaflor. Catalogo con germinados y hierbas. Importa de mas de veinte paises.;desconocido;desconocido;desconocido;desconocido;-;Sandra Sitjar;Direccion comercial;-;cultivar@cultivar.net;email_generico;Ya vende germinados y hierbas dentro de su gama premium, todos de importacion. Rootflow le convierte esa linea en KM 0 Madrid con 24-48 h desde cosecha y marca Exotica Premium. Ademas distribuye Primaflor, socio ya en conversacion con Rootflow.;Filial de grupo importador grande, la decision puede requerir comite. Distribuye Primaflor, posible solape con la negociacion en curso.;ninguno;72;B;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=13;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
A1A-010;Central Dica S.A.U. - Grupo L C;cadena_valor;mayorista_grupo_familiar;Espana;Madrid;https://www.grupolc.com;Grupo familiar fundado en 1974 por Lorenzo Carrasco, con los dos hijos en el negocio. Presencia en Mercabarna y Mercamadrid y produccion propia en Cadiz: integracion vertical documentada. Discurso explicito de innovacion.;Ficha ASOMAFRUT: nave C puestos 26-30. Produccion propia de coliflor y broli en Cadiz. Exportacion a Europa, Emiratos y Asia. Director comercial y comercial identificados.;desconocido;desconocido;desconocido;desconocido;-;Emilio Carrillo;Director Comercial;-;dicamadrid@grupolc.com;email_generico;Integracion vertical ya demostrada (produccion propia en Cadiz). Rootflow es la via rapida de anadir una categoria premium de interior en Madrid sin invertir en campo, con marca blanca Grupo L C y control de suministro via capital.;Grupo de tamano medio-alto con sede de decision compartida entre Barcelona y Madrid.;ninguno;71;B;alta;https://asociados.asomafrut.com/detalle?tb_empresa_id_empresa=7;https://asociados.asomafrut.com/ficheros/aso_espanol_baja.pdf;2026-09-21;nuevo
